Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,15-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ASSOCIACAO CULTURA INGLESA SAO PAULO,1008743,"25,130.60",
FCO,FCO,29-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ASSOCIACAO CULTURA INGLESA SAO PAULO,1008768,"25,130.60",
FCO,FCO,10-May-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,MINES ADVISORY GROUP,1045097,"32,500.00",
FCO,FCO,22-May-12,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1045817,"26,666.00",
FCO,FCO,22-May-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1045817,"5,333.20",
FCO,FCO,04-May-12,Sundry Accruals,NON CASH & UNALLOCATED COSTS,SOUTH POLE CARBON ASSET MANAGEMENT LIMITED,5000294,"148,920.00",
FCO,FCO,31-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1046714,"12,479.50",
FCO,FCO,31-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1046714,"59,237.50",
FCO,FCO,31-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1046714,"53,012.00",
FCO,FCO,31-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1046714,"34,042.00",
FCO,FCO,31-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1046714,"2,495.90",
FCO,FCO,31-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1046714,"11,847.50",
FCO,FCO,31-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1046714,"10,602.40",
FCO,FCO,31-May-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1046714,"6,808.40",
FCO,FCO,21-May-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1045764,"38,332.67",
FCO,FCO,21-May-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1045764,"1,149.98",
FCO,FCO,21-May-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1045764,230,
FCO,FCO,29-May-12,Construction Project more than £10k,#N/A,KLEAR ELECTRICAL CORP,40000008446,"39,527.65",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"14,919.70",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"2,007.38",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"57,647.57",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,492.72,
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"3,321.23",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"5,634.66",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"4,665.80",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"2,604.17",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"1,530.86",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"2,236.16",
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,271.27,
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,280.76,
FCO,FCO,22-May-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000188,"12,460.94",
