Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,19-Mar-12,Construction Project more than £10k,#N/A,ACM SERVICES INC,40000007175,"44,189.13",
FCO,FCO,19-Mar-12,Construction Project more than £10k,#N/A,ACM SERVICES INC,40000007175,"4,355.79",
FCO,FCO,16-Mar-12,Non-Capital Expenditure Re: IT Projects (Oracle Projects Control Account),DG FINANCE,BRAVOSOLUTION UK LTD,1040263,"27,426.20",
FCO,FCO,16-Mar-12,Non-Capital Expenditure Re: IT Projects (Oracle Projects Control Account),DG FINANCE,BRAVOSOLUTION UK LTD,1040263,"5,485.24",
FCO,FCO,27-Mar-12,Programme Spend (Oracle Projects Control Account),UK TRADE AND INVESTMENT DIRECTORATE,ROI RESEARCH ON INVESTMENT INC,40010002026,"15,779.84",
FCO,FCO,27-Mar-12,Programme Spend (Oracle Projects Control Account),UK TRADE AND INVESTMENT DIRECTORATE,ROI RESEARCH ON INVESTMENT INC,40010002026,"9,467.90",
FCO,FCO,27-Mar-12,Programme Spend (Oracle Projects Control Account),UK TRADE AND INVESTMENT DIRECTORATE,ROI RESEARCH ON INVESTMENT INC,40010002026,"3,282.21",
FCO,FCO,20-Mar-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,JCLEC FOUNDATION,12341,"26,703.13",
FCO,FCO,06-Mar-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ASSOCIACAO CULTURA INGLESA SAO PAULO,1008508,"27,449.69",
FCO,FCO,05-Mar-12,Ministerial Visits,DG CENTRAL GROUP,NETJETS UK LIMITED,1039055,"53,381.31",
FCO,FCO,06-Mar-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,PURSUE LTD,5000214,"56,678.00",
FCO,FCO,30-Mar-12,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,TURKS AND CAICOS ISLANDS GOVERNMENT - TCIG,1004685,"725,964.27",
FCO,FCO,13-Mar-12,Specialist Contractors,DG CENTRAL GROUP,MEDLEY BUSINESS SOLUTIONS,1039946,"21,714.00",
FCO,FCO,13-Mar-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MEDLEY BUSINESS SOLUTIONS,1039946,"4,342.80",
FCO,FCO,15-Mar-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,EXTRA ORDINARY CHAMBERS IN THE COURTS OF CAMBODIA,10102082,"749,981.06",
FCO,FCO,23-Mar-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1041205,"36,529.63",
FCO,FCO,23-Mar-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1041205,"1,133.33",
FCO,FCO,23-Mar-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1041205,226.67,
FCO,FCO,29-Mar-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNDP,1004676,"1,500,000.00",
FCO,FCO,23-Mar-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HERMAN MILLER ASIA (PTE) LTD,5786,"204,427.90",
FCO,FCO,28-Mar-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,SPECIAL TRIBUNAL FOR LEBANON,5000241,"1,000,000.00",
FCO,FCO,01-Mar-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1038753,"28,685.00",
FCO,FCO,01-Mar-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1038753,"5,737.00",
FCO,FCO,20-Mar-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1040587,"25,759.00",
FCO,FCO,20-Mar-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1040587,"5,151.80",
FCO,FCO,15-Mar-12,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,GOVERNMENT OF THE BRITISH ANTARCTIC TERRITORY,1040188,"150,000.00",
FCO,FCO,13-Mar-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1040054,"36,883.20",
FCO,FCO,13-Mar-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1040054,"-36,883.20",
FCO,FCO,13-Mar-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1040054,"36,883.20",
FCO,FCO,13-Mar-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1040054,"7,376.64",
FCO,FCO,13-Mar-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1040054,"-36,883.20",
FCO,FCO,13-Mar-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1040054,"-7,376.64",
FCO,FCO,13-Mar-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1040054,"30,736.00",
FCO,FCO,13-Mar-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1040054,"6,147.20",
FCO,FCO,14-Mar-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1040135,154,
FCO,FCO,14-Mar-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1040135,"25,250.00",
FCO,FCO,14-Mar-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1040135,"2,107.00",
