Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,29-Sep-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,CTA ECONOMIC AND EXPORT ANALYSTS,1026992," 47,639.64 ",
FCO,FCO,27-Sep-11,Construction Project more than £10k,#N/A,TAILLEFER PLUMBING & HEATING INC,40010001244," 32,960.85 ",
FCO,FCO,27-Sep-11,Construction Project more than £10k,#N/A,TAILLEFER PLUMBING & HEATING INC,40010001244," 1,938.27 ",
FCO,FCO,15-Sep-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,CAMCO ADVISORY SERVICES LTD,1025986," 75,000.00 ",
FCO,FCO,05-Sep-11,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1025336," 30,225.80 ",
FCO,FCO,05-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1025336," 6,045.16 ",
FCO,FCO,22-Sep-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1026464," 33,769.67 ",
FCO,FCO,22-Sep-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1026464," 1,013.09 ",
FCO,FCO,22-Sep-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1026464, 202.62 ,
FCO,FCO,26-Sep-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1026685," 25,327.00 ",
FCO,FCO,26-Sep-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1026685," 2,184.00 ",
FCO,FCO,26-Sep-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1026685," 3,225.00 ",
FCO,FCO,26-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1026685," 6,147.20 ",
FCO,FCO,21-Sep-11,Estates Management Services,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,11005," 28,930.08 ",
FCO,FCO,21-Sep-11,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,11028," 12,881.74 ",
FCO,FCO,21-Sep-11,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,11028," 40,296.91 ",
FCO,FCO,21-Sep-11,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,11028," 3,722.50 ",
FCO,FCO,23-Sep-11,Rates Taxes Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041," 1,529.46 ",
FCO,FCO,23-Sep-11,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041," 5,011.00 ",
FCO,FCO,23-Sep-11,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 121.21 ,
FCO,FCO,23-Sep-11,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 664.71 ,
FCO,FCO,23-Sep-11,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041," 49,165.68 ",
FCO,FCO,23-Sep-11,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 283.87 ,
FCO,FCO,23-Sep-11,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 129.03 ,
FCO,FCO,23-Sep-11,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041," 1,290.32 ",
FCO,FCO,23-Sep-11,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 774.19 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11041," 6,412.51 ",
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 546.63 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 462.72 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 7.82 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11041, 23.46 ,
FCO,FCO,23-Sep-11,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042," 10,282.27 ",
FCO,FCO,23-Sep-11,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 927.38 ,
FCO,FCO,23-Sep-11,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 39.25 ,
FCO,FCO,23-Sep-11,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042," 11,410.32 ",
FCO,FCO,23-Sep-11,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042," 1,040.70 ",
