Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,23-Mar-11,Uk Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1012620,265.82,
FCO,FCO,23-Mar-11,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1012620,252.6,
FCO,FCO,23-Mar-11,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1012620,"25,500.00",
FCO,FCO,23-Mar-11,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1012620,321.11,
FCO,FCO,23-Mar-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1012620,"5,267.90",
FCO,FCO,23-Mar-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1012620,0.01,
FCO,FCO,23-Mar-11,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1012620,-321.11,
FCO,FCO,23-Mar-11,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1012620,321.11,
FCO,FCO,01-Mar-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,INTERNATIONAL UNION FOR CONSERVATION OF NATURE,8752,"26,000.00",
FCO,FCO,24-Mar-11,Uk Duty Travel,DG CENTRAL GROUP,NETJETS UK LIMITED,1012831,"113,991.00",
FCO,FCO,03-Mar-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,INSTITUTE OF MANAGEMENT SCIENCES,17245,"9,461.10",
FCO,FCO,03-Mar-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,INSTITUTE OF MANAGEMENT SCIENCES,17245,"16,849.66",
FCO,FCO,30-Mar-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,INSTITUTE OF MANAGEMENT SCIENCES,17482,"26,310.77",
FCO,FCO,11-Mar-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,PEPCO ENERGY SERVICES INC,1003299,"206,658.39",
FCO,FCO,31-Mar-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,PEPCO ENERGY SERVICES INC,1003374,"169,994.49",
FCO,FCO,24-Mar-11,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1012725,"25,000.00",
