Post Date,Publishable Label,Transaction Amount,"Publishable Label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary",,
02/07/12,Airlines,561.90,,,
02/07/12,Airlines,561.90,,,
02/07/12,Airlines,1898.01,,,
02/07/12,Airlines,1077.02,,,
02/07/12,Airlines,784.79,,,
02/07/12,Airlines,880.85,,,
02/07/12,Airlines,607.43,,,
02/07/12,Airlines,607.43,,,
02/07/12,Airlines,607.43,,,
02/07/12,Airlines,607.43,,,
02/07/12,Airlines,607.43,,,
02/07/12,Airlines,607.43,,,
02/07/12,Airlines,2448.59,,,
02/07/12,Airlines,665.09,,,
02/07/12,Airlines,2564.59,,,
02/07/12,Airlines,832.99,,,
02/07/12,Airlines,1150.99,,,
02/07/12,Airlines,743.09,,,
02/07/12,Airlines,1510.59,,,
02/07/12,Airlines,631.00,,,
02/07/12,Airlines,-1770.29,,,
02/07/12,Airlines,2977.39,,,
02/07/12,Airlines,1093.60,,,
02/07/12,Airlines,880.85,,,
02/07/12,Airlines,880.85,,,
02/07/12,Airlines,632.35,,,
02/07/12,Airlines,632.35,,,
02/07/12,Airlines,632.35,,,
02/07/12,Airlines,1206.09,,,
02/07/12,Airlines,649.99,,,
02/07/12,Airlines,902.19,,,
02/07/12,Airlines,1406.69,,,
02/07/12,Airlines,1226.70,,,
02/07/12,Airlines,1226.70,,,
02/07/12,Airlines,799.19,,,
02/07/12,Airlines,3050.19,,,
02/07/12,Airlines,1675.09,,,
02/07/12,Airlines,1988.40,,,
02/07/12,Airlines,1719.09,,,
02/07/12,Airlines,1680.59,,,
02/07/12,Airlines,4025.59,,,
02/07/12,Airlines,-938.79,,,
02/07/12,Airlines,-938.79,,,
02/07/12,Airlines,538.79,,,
03/07/12,Airlines,702.00,,,
03/07/12,Airlines,-789.90,,,
03/07/12,Airlines,-789.90,,,
03/07/12,Airlines,3442.39,,,
04/07/12,Airlines,3465.19,,,
04/07/12,Airlines,863.97,,,
04/07/12,Airlines,726.50,,,
04/07/12,Airlines,874.20,,,
04/07/12,Airlines,721.20,,,
04/07/12,Airlines,874.20,,,
04/07/12,Airlines,874.20,,,
04/07/12,Airlines,721.20,,,
04/07/12,Airlines,721.20,,,
04/07/12,Airlines,721.20,,,
04/07/12,Airlines,773.39,,,
04/07/12,Airlines,578.02,,,
04/07/12,Airlines,955.61,,,
04/07/12,Airlines,2978.39,,,
04/07/12,Airlines,845.23,,,
04/07/12,Airlines,832.99,,,
04/07/12,Airlines,1787.47,,,
04/07/12,Airlines,2545.49,,,
04/07/12,Airlines,2545.49,,,
04/07/12,Airlines,578.02,,,
04/07/12,Airlines,593.39,,,
04/07/12,Airlines,1676.50,,,
04/07/12,Airlines,-555.10,,,
04/07/12,Airlines,2420.09,,,
04/07/12,Airlines,910.81,,,
04/07/12,Airlines,514.60,,,
05/07/12,Airlines,662.89,,,
05/07/12,Airlines,774.09,,,
05/07/12,Airlines,515.90,,,
05/07/12,Airlines,661.49,,,
05/07/12,Airlines,2435.99,,,
05/07/12,Airlines,774.09,,,
05/07/12,Airlines,-1146.49,,,
05/07/12,Airlines,1680.39,,,
05/07/12,Airlines,817.89,,,
05/07/12,Airlines,827.89,,,
05/07/12,Airlines,799.19,,,
05/07/12,Airlines,799.19,,,
05/07/12,Airlines,-730.99,,,
05/07/12,Airlines,2234.66,,,
05/07/12,Airlines,1482.79,,,
