Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment provided as necessary."
02/01/2012,Airlines,781.67,
02/01/2012,Airlines,897.92,
02/01/2012,Airlines,636.53,
02/01/2012,Airlines,1181.03,
03/01/2012,Airlines,705.6,
03/01/2012,Airlines,634.23,
03/01/2012,Airlines,634.23,
03/01/2012,Airlines,-2739.6,
03/01/2012,Airlines,-645.81,
03/01/2012,Airlines,-2299.13,
04/01/2012,Airlines,1978.73,
04/01/2012,Airlines,4662.4,
04/01/2012,Airlines,696.93,
04/01/2012,Airlines,843.8,
04/01/2012,Airlines,2491.03,
04/01/2012,Airlines,1222.13,
04/01/2012,Airlines,2678.63,
04/01/2012,Airlines,1235.63,
04/01/2012,Airlines,1235.63,
04/01/2012,Airlines,1538.93,
04/01/2012,Airlines,693.6,
05/01/2012,Airlines,1989.93,
05/01/2012,Airlines,3006.7,
05/01/2012,Airlines,1946.02,
05/01/2012,Airlines,922.62,
05/01/2012,Airlines,1514.53,
06/01/2012,Airlines,856.91,
06/01/2012,Airlines,-2739.6,
06/01/2012,Airlines,677.16,
06/01/2012,Airlines,1793.13,
06/01/2012,Airlines,684.73,
06/01/2012,Airlines,936.4,
06/01/2012,Airlines,1340.73,
06/01/2012,Airlines,881.43,
06/01/2012,Airlines,-2092.83,
06/01/2012,Airlines,524.42,
06/01/2012,Airlines,524.42,
06/01/2012,Airlines,524.42,
06/01/2012,Airlines,521.49,
06/01/2012,Airlines,-521.29,
06/01/2012,Airlines,-521.29,
06/01/2012,Airlines,2299.98,
09/01/2012,Airlines,-1710.12,
09/01/2012,Airlines,546.62,
09/01/2012,Airlines,1958.33,
09/01/2012,Airlines,1958.33,
09/01/2012,Airlines,1518.9,
09/01/2012,Airlines,2545.73,
09/01/2012,Airlines,1291.23,
09/01/2012,Airlines,2448.23,
09/01/2012,Airlines,1093.23,
09/01/2012,Airlines,2576.23,
09/01/2012,Airlines,529.63,
09/01/2012,Airlines,1291.23,
09/01/2012,Airlines,719.81,
09/01/2012,Airlines,1093.23,
09/01/2012,Airlines,595.03,
09/01/2012,Airlines,595.03,
09/01/2012,Airlines,737.42,
09/01/2012,Airlines,928.22,
09/01/2012,Airlines,-1231.13,
09/01/2012,Airlines,-1231.13,
09/01/2012,Airlines,888.17,
09/01/2012,Airlines,601.22,
09/01/2012,Airlines,552.8,
09/01/2012,Airlines,1395.53,
09/01/2012,Airlines,904.6,
09/01/2012,Airlines,1203.36,
09/01/2012,Airlines,1279.6,
09/01/2012,Airlines,1387.41,
09/01/2012,Airlines,751.43,
09/01/2012,Airlines,1315.13,
09/01/2012,Airlines,735.43,
09/01/2012,Airlines,743.43,
10/01/2012,Airlines,-504.1,
10/01/2012,Airlines,-504.1,
10/01/2012,Airlines,-504.1,
10/01/2012,Airlines,-504.1,
10/01/2012,Airlines,-504.1,
10/01/2012,Airlines,-504.1,
10/01/2012,Airlines,-504.1,
10/01/2012,Airlines,-504.1,
10/01/2012,Airlines,2491.53,
10/01/2012,Airlines,2491.53,
10/01/2012,Airlines,513.53,
10/01/2012,Airlines,2491.53,
10/01/2012,Airlines,1387.41,
10/01/2012,Airlines,717,
10/01/2012,Airlines,-1315.13,
10/01/2012,Airlines,-1279.6,
10/01/2012,Airlines,1045.53,
10/01/2012,Airlines,1045.53,
10/01/2012,Airlines,-904.6,
10/01/2012,Airlines,1374.23,
10/01/2012,Airlines,523.63,
10/01/2012,Airlines,523.63,
10/01/2012,Airlines,1340.2,
10/01/2012,Airlines,838.63,
10/01/2012,Airlines,560.03,
10/01/2012,Airlines,871.92,
10/01/2012,Airlines,604.7,
10/01/2012,Airlines,1958.33,
10/01/2012,Airlines,2409.93,
11/01/2012,Airlines,3123.66,
11/01/2012,Airlines,890.22,
11/01/2012,Airlines,1543.93,
11/01/2012,Airlines,1138.51,
11/01/2012,Airlines,1138.51,
11/01/2012,Airlines,1138.51,
11/01/2012,Airlines,946.03,
11/01/2012,Airlines,1726.73,
11/01/2012,Airlines,596.83,
11/01/2012,Airlines,2888.51,
11/01/2012,Airlines,770.63,
11/01/2012,Airlines,1729.52,
11/01/2012,Airlines,914.22,
11/01/2012,Airlines,898.6,
11/01/2012,Airlines,748.9,
11/01/2012,Airlines,3677.9,
11/01/2012,Airlines,2546.13,
11/01/2012,Airlines,2609.13,
11/01/2012,Airlines,993.53,
11/01/2012,Airlines,1109.23,
11/01/2012,Airlines,513.53,
11/01/2012,Airlines,710.2,
11/01/2012,Airlines,522.3,
11/01/2012,Airlines,6692.53,
12/01/2012,Airlines,911.33,
12/01/2012,Airlines,1456.8,
