post_date,Publishable label,trans_amnt,,Publishable label is provided by Bank and is industry standard.  May not however give true indication of purchase- additional comment provided as necessary
01/09/2011,Airlines,666.73,,
01/09/2011,Airlines,873.5,,
01/09/2011,Airlines,1264.5,,
01/09/2011,Airlines,1266.6,,
01/09/2011,Airlines,1609,,
01/09/2011,Airlines,1786,,
01/09/2011,Airlines,-1251.69,,
01/09/2011,Airlines,-1012.69,,
01/09/2011,Airlines,-1251.69,,
01/09/2011,Airlines,-1264.5,,
01/09/2011,Airlines,-1012.69,,
01/09/2011,Airlines,-1264.5,,
01/09/2011,Airlines,-1251.69,,
01/09/2011,Airlines,679.44,,
01/09/2011,Airlines,-577.73,,
01/09/2011,Airlines,796.03,,
01/09/2011,Airlines,804.03,,
01/09/2011,Airlines,1272.53,,
01/09/2011,Airlines,4571.83,,
01/09/2011,Airlines,766.9,,
01/09/2011,Airlines,3417.93,,
01/09/2011,Airlines,885.73,,
01/09/2011,Airlines,1036.93,,
01/09/2011,Airlines,885.73,,
01/09/2011,Airlines,875.13,,
01/09/2011,Airlines,763.73,,
01/09/2011,Airlines,2128.93,,
01/09/2011,Airlines,999.13,,
01/09/2011,Industrial Supplies - Def,838.14,,
01/09/2011,Travel Agencies,2794.44,,
01/09/2011,Travel Agencies,1889.66,,
01/09/2011,Travel Agencies,4426.31,,
01/09/2011,Travel Agencies,1816.29,,
01/09/2011,Travel Agencies,615.63,,
01/09/2011,Travel Agencies,733.08,,
01/09/2011,Travel Agencies,2708.23,,
01/09/2011,Travel Agencies,1889.66,,
01/09/2011,Travel Agencies,1786.81,,
01/09/2011,Travel Agencies,-1889.66,,
01/09/2011,Misc Publishing & Printing,1140,,
02/09/2011,Airlines,727.3,,
02/09/2011,Business Services - Default,576,,
02/09/2011,Gov'T Serv - Default,500,,
02/09/2011,Travel Agencies,727.44,,
02/09/2011,Travel Agencies,1759.03,,
02/09/2011,Airlines,935.43,,
02/09/2011,Member Clubs/Sport/Rec/Golf,500,,FCO paralympic video for the See Britain campaign
02/09/2011,Business/Secretarial School,1291.5,,
02/09/2011,Airlines,1439.93,,
02/09/2011,Airlines,1034.23,,
02/09/2011,Airlines,670,,
02/09/2011,Furniture/Equip Stores,526,,
02/09/2011,Airlines,548.73,,
02/09/2011,Airlines,2456.43,,
02/09/2011,Airlines,548.73,,
02/09/2011,Airlines,637.7,,
02/09/2011,Airlines,1904.63,,
02/09/2011,Airlines,889.1,,
02/09/2011,Airlines,777.1,,
02/09/2011,Airlines,1816.6,,
02/09/2011,Airlines,1094.99,,
02/09/2011,Airlines,-1012.69,,
05/09/2011,Airlines,702.2,,
05/09/2011,Airlines,1104.5,,
05/09/2011,Hotels/Motels/Resorts,3372,,
05/09/2011,Hotels/Motels/Resorts,3372,,
05/09/2011,Hotels/Motels/Resorts,3372.6,,
05/09/2011,Airlines,2090.73,,
05/09/2011,Airlines,2090.73,,
05/09/2011,Airlines,2090.73,,
05/09/2011,Airlines,3709.73,,
05/09/2011,Airlines,-3817.93,,
05/09/2011,Airlines,-3225.63,,
05/09/2011,Airlines,555.09,,
05/09/2011,Equip/Furn Rent/Lease Serv,1176,,
05/09/2011,Colleges/Univ/Jc/Profession,1014,,
05/09/2011,Airlines,-1918.73,,
05/09/2011,Hotels/Motels/Resorts,591.61,,
05/09/2011,Hotels/Motels/Resorts,591.61,,
05/09/2011,Hotels/Motels/Resorts,591.61,,
05/09/2011,Hotels/Motels/Resorts,591.61,,
05/09/2011,Travel Agencies,1020.14,,
05/09/2011,Travel Agencies,924.6,,
05/09/2011,Travel Agencies,1020.14,,
05/09/2011,Travel Agencies,1020.14,,
05/09/2011,Travel Agencies,1020.14,,
05/09/2011,Travel Agencies,1384.53,,
05/09/2011,Travel Agencies,1385.33,,
05/09/2011,Travel Agencies,-1384.53,,
05/09/2011,Travel Agencies,-3705.13,,
05/09/2011,Travel Agencies,-1444.53,,
06/09/2011,Travel Agencies,1030.1,,
06/09/2011,Travel Agencies,1601.11,,
06/09/2011,Other Direct Marketers,1205,,
06/09/2011,Travel Agencies,831.5,,
06/09/2011,Member Organizations - Def,759.6,,
06/09/2011,Travel Agencies,4342.33,,
06/09/2011,Travel Agencies,927.2,,
06/09/2011,Airlines,714,,
06/09/2011,Computer Program/Sys Design,636.48,,
06/09/2011,Computer Program/Sys Design,961.98,,
06/09/2011,Fabric Stores,723.62,,
06/09/2011,Airlines,-713.8,,
06/09/2011,Airlines,566,,
06/09/2011,Hotels/Motels/Resorts,2055,,
06/09/2011,Travel Agencies,645.83,,
06/09/2011,Travel Agencies,645.83,,
06/09/2011,Travel Agencies,1503.63,,
06/09/2011,Travel Agencies,565.5,,
06/09/2011,Travel Agencies,1092.82,,
06/09/2011,Travel Agencies,927.2,,
06/09/2011,Travel Agencies,2033.93,,
06/09/2011,Travel Agencies,1009.53,,
06/09/2011,Travel Agencies,1030.2,,
06/09/2011,Travel Agencies,1030.2,,
06/09/2011,Travel Agencies,1234.4,,
06/09/2011,Travel Agencies,2150.33,,
07/09/2011,Travel Agencies,584.42,,
07/09/2011,Travel Agencies,1313.73,,
07/09/2011,Travel Agencies,623.86,,
07/09/2011,Travel Agencies,1385.33,,
07/09/2011,Travel Agencies,1226.83,,
07/09/2011,Travel Agencies,659.11,,
07/09/2011,Travel Agencies,1439.38,,
07/09/2011,Travel Agencies,1289.38,,
07/09/2011,Travel Agencies,1226.83,,
07/09/2011,Travel Agencies,1892.83,,
07/09/2011,Travel Agencies,1127.88,,
07/09/2011,Travel Agencies,1492.12,,
