Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advisory Concilliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",59,54.5,262,239.9,472,441.4,40,37.9,3,2.9,2,1.3,838,778,17,17,,,1,0.2,,,18,17.2,856,795,"1,999,528.74","17,514.04",,"12,340.88","371,089.70","163,114.40","2,563,587.76","23,385.64","4,350.00","27,735.64","2,591,323.40",
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",2,1.743,27,24.897,34,31.87,12,11.311,4,3.5,,,79,73,,,,,,,3,3,3,3,82,76,"207,120.41","4,479.04","5,965.54",,"49,619.40","18,169.67","285,354.06",,"13,052.00","13,052.00","298,406.06",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",251,220.05,401,368.04,802,764.41,204,197.75,47,43.51,7,7,"1,712","1,601",9,9,0,0,1,1,1,0.2,11,10.2,"1,723","1,611","4,311,545.65","228,493.69",419,"53,323.32","1,147,255.48","381,975.14","6,123,012.28","31,582.08","5,000.00","36,582.08","6,159,594.36",
British Hallmarking Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
"Business, Innovation & Skills (inc UKTI)",Ministerial Department,"Department for Business, Innovation & Skills",256,243.1,444,429.26,1178,1150.67,1031,996.43,233,224.85,0,0,"3,142","3,044",131,131,17,17,104,104,81,81,333,333,"3,475","3,377","10,258,295.00","247,913.00","61,211.00","66,403.00","2,106,478.00","960,062.00","13,700,362.00","460,585.00","545,412.00","1,005,997.00","14,706,359.00",
Capital for Enterprise Limited,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,6,6,12,11.71,10,9.69,7,3.52,,,35,31,0,0,,,5,2.82,,,5,2.82,40,34,"138,473.61",500,,,"27,142.62","13,667.42","179,783.65","38,324.07",,"38,324.07","218,107.72",
Companies House,Executive Agency,"Department for Business, Innovation & Skills",554,482.69,262,246.69,130,126.8,25,24.12,2,2,9,7.45,982,890,,,,,4,4,,,4,4,986,894,"1,775,325.81","34,666.30",0,"27,006.13","319,847.42","125,523.29","2,282,368.95",,"43,857.35","43,857.35","2,326,226.30",
Competition Commission,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",11,11,18,17.28,32,31,71,67.95,19,18.9,,,151,146,8,7,,,3,3,4,4,15,14,166,160,"647,781.00",,,,"113,250.00","66,134.00","827,165.00","27,144.00",,"27,144.00","854,309.00",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",2,2,2,2,7,6.4,3,2.5,1,1,,,15,14,,,,,,,,,0,0,15,14,"45,318.55",,"3,000.00",,"10,064.37","4,317.51","62,700.43",,,0,"62,700.43",
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",435,401.45,623,610.07,315,309.94,29,29,8,8,0,0,"1,410","1,358",65,52.39,1,0.15,67,43.53,3,2.75,136,98.82,"1,546","1,457","3,390,292.86","221,501.47",0,"39,552.56","381,689.34","293,742.61","4,326,778.84","363,360.00","14,593.00","377,953.00","4,704,731.84",
Consumer Focus,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",40,38.6,12,11.5,72,67.4,22,20.8,3,3,0,0,149,141,,,,,,,2,1.8,2,1.8,151,143,"452,885.37",898.99,,0,"77,752.27","38,232.27","569,768.90","7,459.30",,"7,459.30","577,228.20",
Economic & Social Reseach Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",16,13.1,19,17.3,64,57,17,16.2,3,3,12,12,131,119,2,2,,,,,,,2,2,133,121,"330,590.00","5,696.00",,490,"80,581.00","32,513.00","449,870.00","10,584.00",,"10,584.00","460,454.00",
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",30,29.13,31,29.37,118,111.79,32,29.68,4,4,,,215,204,3,3,,,14,14,,,17,17,232,221,"582,010.85","10,828.25",75,"3,756.36","145,420.26","47,223.50","789,314.22","8,304.75","88,655.03","96,959.78","886,274.00",
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",36,31,31,31,20,20,,,,,3,1,90,83,1,1,,,,,,,1,1,91,84,"246,068.00","15,169.00",,457,"46,222.00","23,263.00","331,179.00",400,,400,"331,579.00",
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,27,21.83,176,158.27,42,40.82,5,4.4,0,0,257,230,9,6,0,0,0,0,0,0,9,6,266,236,"744,697.73","2,455.92",,219.76,"143,334.88","64,954.15","955,662.44","12,649.28",,"12,649.28","968,311.72",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",740,681.09,351,332.48,819,790.72,94,93.26,6,5.8,,,"2,010","1,903",115,115,,,26,26,,,141,141,"2,151","2,044","4,524,815.00","26,918.00",,"3,208.00","855,859.00","348,722.00","5,759,522.00","461,766.00",,"461,766.00","6,221,288.00",
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",390,357.6,645,603.7,1704,1651.4,251,243.5,95,91.7,63,51.6,"3,148","3,000",31,31,40,40,7,7,5,5,83,83,"3,231","3,083","8,273,164.00","491,955.00",0,"32,957.00","987,329.00","1,167,524.00","10,952,929.00","376,001.00","1,154,901.00","1,530,902.00","12,483,831.00",
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",5,3.89,11,10.83,33,32.61,16,14.99,1,1,,,66,63,2,2,,,,,,,2,2,68,65,"205,138.92",101.58,183.33,126.6,"38,249.60","17,465.99","261,266.02","5,393.34",0,"5,393.34","266,659.36",
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",262,233,423,395,1065,1011,431,407,21,20,332,326,"2,534","2,392",13,13,0,0,5,5,2,2,20,20,"2,554","2,412","6,738,713.66","171,199.97",750,"30,029.01","1,895,077.09","568,341.88","9,404,111.61","278,670.59",,"278,670.59","9,682,782.20",No returns for consultancy fees for October.  Additional headcount and salary cost due to Antarctic Employment Pool recruitment activity.
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,0,0,8,7.6,2,1.5,1,1,0,0,11,10,1,1,0,0,0,0,0,0,1,1,12,11,"30,627.12",478.88,0,0,"5,951.83","2,548.78","39,606.61","2,061.58",0,"2,061.58","41,668.19",The Director of Fair Access is on the payroll of the Department for Business innovation and skills
