Minister,Date Received,From,Gift,Value,Outcome
"Foreign Secretary, Rt Hon William Hague MP",20-Dec,Embassy of Saudi Arabia,Hamper,Over limit,Donated to Charity
"Foreign Secretary, Rt Hon William Hague MP",20-Dec,Embassy of Bahrain,Hamper,Over limit,Donated to Charity
"Foreign Secretary, Rt Hon William Hague MP",20-Dec,Embassy of Yemen,Selection of alcohol,Over limit,Retained for official entertainment
"Foreign Secretary, Rt Hon William Hague MP",20-Dec,Embassy of Qatar,Hamper,Over limit,Donated to Charity
"Parliamentary Under-Secretary of State, Alistair Burt MP",20-Dec,Embassy of Bahrain,Hamper,Over limit,Donated to Charity
"Parliamentary Under-Secretary of State, Alistair Burt MP",20-Dec,Embassy of Qatar,Hamper,Over limit,Donated to Charity
"Parliamentary Under-Secretary of State, Alistair Burt MP",22-Dec,UAE Deputy Foreign Minister,Hamper,Over limit,Donated to Charity
"Minister of State, The Rt Hon Lord Howell of Guildford",05-Oct,Oxford Energy Group,Case of wine,£216,Purchased by the Minister
"Minister of State, The Rt Hon Lord Howell of Guildford",20-Dec,Embassy of Saudi Arabia,Hamper,£183.75,Purchased by the Minister
"Parliamentary Under-Secretary of State, Henry Bellingham MP",20-Dec,Embassy of Saudi Arabia,Hamper,£183.75,Purchased by the Minister
"Minister of State, David Lidington MP",20-Dec,Embassy of Saudi Arabia,Hamper,Over limit,Donated to charity
"Jeremy Browne MP, Minister of State",20-Dec,Embassy of The United Arab Emirates (UAE),Hamper,Over limit,Donated to charity
