Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister of State, Jeremy Browne MP",06-Jan-11,Channel 4,Lunch
"Minister of State, Jeremy Browne MP",24-Jan-11,The Telegraph,Lunch
"Minister of State, Jeremy Browne MP",02-Feb-11,Reform,Dinner
"Minister of State, Jeremy Browne MP",07-Feb-11,The Telegraph,Lunch
"Minister of State, Jeremy Browne MP",21-Mar-11,Diageo,Dinner
"Minister of State, Jeremy Browne MP",21-Mar-11,Guardian,Lunch
"Minister of State, David Lidington MP",26-Feb-11,The Times,Lunch
"Minister of State, David Lidington MP",14-Mar-11,Foreign Policy Centre,Dinner
"Minister of State, David Lidington MP",24-Mar-11,"Bernd Atenstaedt, German Industry UK 35th Anniversary",Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",27-Jan-11,Women into Energy,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",10-Feb-11,The Times,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",10-Feb-11,Women Into Energy,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",03-Mar-11,Middle East Association,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",13-Mar-11,Royal Commonwealth Society,Banquet
"Minister of State, The Rt Hon Lord Howell of Guildford",17-Mar-11,Hong Kong Association,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",17-Mar-11,Commonwealth Secretariat,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",22-Mar-11,Atlantic Partnership,Breakfast
"Minister of State, The Rt Hon Lord Howell of Guildford",22-Mar-11,Eminent Persons Group,Lunch
"Parliamentary Under-Secretary of State, Henry Bellingham MP",13-Jan-11,City of London and leaders of city businesses and trade bodies,Breakfast
"Parliamentary Under-Secretary of State, Henry Bellingham MP",08-Feb-11,A to Z Trust,Gala Reception and Dinner
"Parliamentary Under-Secretary of State, Henry Bellingham MP",03-Mar-11,Nomura Metals and Mining International Plc,Lunch
