Minister,Date,Name of External Organisation,Purpose of meeting
"Foreign Secretary, Rt Hon William Hague MP","September, 2010",Archbishop of York,To discuss the church in Algeria
"Foreign Secretary, Rt Hon William Hague MP","September, 2010",Archbishop of Canterbury,To discuss Sudan
"Minister of State, Jeremy Browne MP","September, 2010","Lord Judd, Jo Swinson MP",To discuss Chechnya
"Minister of State, Jeremy Browne MP","September, 2010",Cuba Initiative,To discuss Cuba
"Minister of State, Jeremy Browne MP","September, 2010",The Burma Campaign,To discuss Burma
"Minister of State, Jeremy Browne MP","September, 2010",Amnesty International,To discuss Burma
"Minister of State, David Liddington MP","September, 2010",Barclays PLC,Meeting with Group Chairman as head of British Bankers’ Association
"Minister of State, The Rt Hon Lord Howell of Guildford","August, 2010",Eminent Persons Group,Discussion of Commonwealth Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Sharp,Sharp’s investment to the UK economy and HMG’s commitment to support Japanese investors
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Ferro Alloys Corp. Ltd.(FACOR),International Energy Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",BIEE (British Institute of Energy Economics),International Energy Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Europa Partners Limited,Discussion of FCO & Commonwealth issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Commonwealth Foundation,Commonwealth Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Wilton Park,Reinvigorating the Commonwealth
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Commonwealth Secretariat ,Commonwealth Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Dr Christopher Allsopp ,International Energy Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Commonwealth Association of Surveying and Land Economy,Commonwealth Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Asia House,Discussion on SE Asia and Japan/China.  Foreign relations and trade agenda.
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Commonwealth Youth Exchange Council,Commonwealth Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Commonwealth Local Government Forum,Commonwealth Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Alstom Power,International Energy Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010","BMCE Bank International plc, Bland Group and Chatham House",International Energy Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",European Council on Foreign Relations,Discussion on ECFR support for Foreign policy
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Local Government Association,Commonwealth Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",BIEE (British Institute of Energy Economics),International Energy Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Pasco Risk Management,Trade in Commonwealth  countries
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Optimiss Consulting and 'Women in Energy' project,International Energy Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Eminent Persons Group,Discussion of Commonwealth Issues
"Minister of State, The Rt Hon Lord Howell of Guildford","September, 2010",Commonwealth Secretariat,Trade in the Commonwealth
"Parliamentary Under-Secretary of State, Henry Bellingham MP","August, 2010",Old Mutual,To discuss the South African business environment and the state of South Africa’s economy.
"Parliamentary Under-Secretary of State, Henry Bellingham MP","August, 2010",Barclays Plc,"To discuss trade and investment, Africa and climate change."
"Parliamentary Under-Secretary of State, Henry Bellingham MP","September, 2010",Shell,To discuss trade and investment in Nigeria
"Parliamentary Under-Secretary of State, Henry Bellingham MP","September, 2010",City of London,Introductory meeting and also to discuss Tanzania.
"Parliamentary Under-Secretary of State, Henry Bellingham MP","September, 2010",De La Rue,To discuss trade and investment.
"Parliamentary Under-Secretary of State, Henry Bellingham MP","September, 2010",AXA,To discuss trade and investment.
"Parliamentary Under-Secretary of State, Henry Bellingham MP","September, 2010",UK Anglican and Catholic bishops,To receive letter on Democratic Republic of Congo
"Parliamentary Under-Secretary of State, Alistair Burt MP","September, 2010",Libya/Northern Ireland Campaign Lawyers,Libya/Northern Ireland reconciliation campaign
"Parliamentary Under-Secretary of State, Alistair Burt MP","September, 2010",Shell,Gulf Initiative
"Parliamentary Under-Secretary of State, Alistair Burt MP","September, 2010",Portland Trust,MEPP
"Parliamentary Under-Secretary of State, Alistair Burt MP","September, 2010",Biddoon Society ,Kuwait Human rights
