NSS,Jun-12,,MHS Stage One Complaint Rate %,Jun-12,,Helpdesk National,Jun-12
East,75.78,,East,1.29%,,1,1.36%
London,67.9,,London,2.38%,,2,0.63%
North,79.26,,North,0.92%,,3,0.84%
South East,64.81,,South East,1.79%,,4,0.73%
South West,73.73,,South West,1.74%,,5,3.13%
West,75,,West,1.17%,,6,1.88%
UK,71.71,,UK,1.63%,,7,3.86%
,,,,,,8,18.37%
,,,,,,9,13.26%
National Overall Experience,Jun-12,,MHS Stage Two Complaints,Jun-12,,10,55.95%
1,0.52%,,Stage 2 Complaints,11,,,
2,0.52%,,Stage 2 Complaint %,1.48%,,,
3,0.73%,,,,,,
4,0.94%,,,,,,
5,1.88%,,MHS Stage Two Complaints Volumes,Jun-12
6,1.57%,,Stage 2 Complaints,11
7,2.92%,,,
8,13.05%,,,
9,13.67%,,MHS Helpdesk Phone Answering,Jun-12
10,64.20%,,Calls Answered 120 Secs %,93.71%
,,,Calls Answered 30 Secs %,82.05%


MHS Stage One Complaints,Jun-12,,,
Stage 1 Complaints,741,,,
Stage 1 Complaint %,1.63%,,,
