TREGANTLE RANGES ,,

FIRING TIMES,,

Monday 7th  January 2013 - 31st January 2013,,


DAY / DATE,Day Firing will take place (X),Night Firing will take place (X)
Mon 7thJan 2013,x,
Tues 8th Jan 2013,x,
Wed 9th Jan 2013,x,
Thurs 10 Jan 2013,x,
Fri 11 Jan 2013,x,
Sat 12 Jan 2013,x,
Sun 13 Jan 2013,,
Mon 14th Jan 2013,x,
Tues 15th Jan 2013,x,
Weds 16th Jan 2013,x,
Thurs 17th Jan 2013,x,
Fri 18th Jan 2013 ,,
Sat 19th Jan 2013,,
Sun 20th Jan 2013,,
Mon 21st Jan 2013,x,
Tues 22nd Jan 2013,x,
Weds 23rd Jan 2013,x,
Thurs 24th Jan 2013,x,
Fri 25th Jan 2013,,
Sat 26th Jan 2013,,
Sun 27th Jan 2013,,
Mon 28th Jan 2013,,
Tues 29th Jan 2013,x,x
Weds 30th Jan 2013,x,x
Thurs 31st Jan 2013,x,
"Please note that these dates and times may be subject to change due to unforeseen                                                                                                                                                                                 circumstances or operational requirements, therefore the only absolute guarantee that                                                                                                                                                                                                   there is no firing is the absence of the Red Flags on the range on the day. Changes are                                                                                                                                                                                                       posted on the noticeboards next to the sentry posts on the coastal footpath.  For up to                                                                                                                                                                                                date information on training activities, or for more detail please call 01752 822516.  ",,

Live firing timings are:,,

01 April – 30 September,,0700hrs – 2330 hours

01 October – 31 March,,0700hrs – 2230 hours

There is no live firing after 1500 hours on Sundays.,,

The red flags by day and the red lamp by night indicate that the Range is active and Live Firing is taking place.  ,,
