Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) 
FCO,FCO,14-Sep-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NON VIOLENCE INTERNATIONAL WASHINGTON,2000247,"31,069.54"
FCO,FCO,25-Sep-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,TAILLEFER PLUMBING & HEATING INC,40010002693,"25,226.63"
FCO,FCO,19-Sep-12,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,WEBER SHANDWICK LTD,1055358,"166,204.47"
FCO,FCO,19-Sep-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBER SHANDWICK LTD,1055358,"33,240.89"
FCO,FCO,11-Sep-12,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1054588,"26,666.00"
FCO,FCO,11-Sep-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1054588,"5,333.20"
FCO,FCO,18-Sep-12,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1055175,"26,622.00"
FCO,FCO,18-Sep-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1055175,"5,324.40"
FCO,FCO,24-Sep-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NATIONAL PROBATION SERVICE LONDON,1055598,"35,689.68"
FCO,FCO,21-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1055534,"12,479.50"
FCO,FCO,21-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1055534,"59,237.50"
FCO,FCO,21-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1055534,"53,012.00"
