EXAMPLES OF GPC EXPENDITURE,

Merchant Category Group/Code narrative,Examples of Expenditure

"Bars, restaurants and nightclubs",·         Small hotels provided by our Hotel provider are classed under this heading 
,"·         Meals/subsistence while on detached duty, military operations and training exercises "
Fireplace,·         Repairs to ovens in kitchens
Gifts/cards/novelty shops and video amusement game supply,·         Trainee visits to the Royal Armouries as part of their training to see the history of weaponry and guns.
,"·         Video Games, puzzles etc for rest and recuperation for personnel serving in Afghanistan"
"Hobby, Toys and games",·         For schools educating Service children overseas
Florists,·         Wreaths for Military personnel killed while in Service 
,"·         Upkeep of the Defence estate, particularly military establishments"
Music shops and Bands/Orchestras,·         Musical instruments purchased for the various military bands and the Royal School of Music
Dry cleaning,"·         The procurement, rental and maintenance of washing machines  "
,·         The provision of laundry facilities for Military personnel
Jewellery,·         Maintenance of clocking-in machines at MOD establishments
,·         New location signs
,·         The provision of dog tags for military personnel 
,·         Warrant card holders for the MOD Police
,·         Kilt pins for school uniforms
Gym equipment,·         The purchase of physical training equipment for military gyms and schools
Arts and Craft Shops,·         Insignia for military band instruments
,·         Mock up models for military visits to schools 
,·         Military recruitment banners
Cinema trips,·         Hire of venues by the Army Presentation team 
,·         Leisure activity as part of the training for new junior soldiers
Tourist attractions and exhibits,·         Acquaint visits for potential recruits to the Royal Navy
,·         Costs related to the annual Navy Day
,·         Adventure training courses including hire of facilities and instruction
Cosmetics,·         Demineralised water for radar systems
,·         Air fresheners for waiting areas and toilets in Military Careers Offices
Leisure Activities/Recreation services,"·         Payment to local radio companies for ""advertising space"" by the Military Recruiting Teams"
,·         Payment for a Mountain Rescue Winter Climbing Training Courses for the Search and Rescue Teams
,·         Coach hire for pre deployment training
,·         Diving courses for Army divers
Theatrical Producers,·         Ferry bookings
,·         Venues for MOD Recruiting Teams and Presentation Teams
,·         Army Officer training as part of cultural awareness
Bowling Alleys,·         Leisure activities/team building for junior soldiers as part of their Army training programme
Health and Beauty Spas,·         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category
Shoe Stores,·         Specialist boots on health grounds for Military staff
Pet stores/Food & Supply,·         Food and Supplies for the Defence Animal Centre and MOD Police and guard dogs
Books and Periodicals,"·         Books and publications for our libraries and schools that are not available on contract e.g. second hand books, "
Beauty and Barber shops,·         Specialist Medical and trauma training
Speciality Cleaning/Polishing,"·         Industrial leak and spill management, industrial safety and plant maintenance products"
Tailor/Seamstress/Alters,"·         Ceremonial clothing e.g. Trooping the Colour, Queens Birthday parade"
,·         Mounting  of military medals on uniforms
Children/Infants wear stores,·         Some retailers in this category also supply adult clothing/products 
,·         Specialist clothing requiring motifs e.g. t-shirts for the Red Arrows
,·         Equipment for battle field tests
,·         Items for our schools and sponsorship of sports clothing for local schools with military logos
Mens/Womens Clothing Stores,·         Specialist Outdoor Clothing e.g. adventure training clothing
,·         Purchase of items of uniform from specialist Suppliers
Advertising Services,"·         Payment to local radio companies and Newspapers for ""advertising space"" by the Military Recruiting Teams   "
,·         Sign making Services
,·         Exhibition displays
Commercial Photo/Art/Graph,·         Safety Sign making Services
Management/Consult/Public Relations Services,·         Specialist training providers
,·         Payments to Professional Bodies
Civic/Social/Fraternal Associations,·         Payments to Professional Bodies
,·         Payments to Local Councils
Statutory Bodies - Fines,·         Payments to the Police for advanced driving courses
Cable/Pay TV Services,·         Sky installations for MOD establishments and ships
Boat Dealers,·         Repairs to ships and boats
,·         Purchase of specialist paint for ships,,,,
Dentists/Orthodontists,·         Dental equipment for Military staff dental check ups,,,,
General Retail – Women’s Access/Speciality,·         Waterproof Clothing and products for Adventure training ,,,,
,·         Waterproof Clothing for Search and Rescue teams ,,,,
Timeshare,·         Temporary accommodation (short term holiday home let) for Service Families awaiting Service Accommodation ,,,,
Pkg Stores/Beer/Wine/Liquor,·         The purchase of alcohol for cooking purposes at the Defence School of Catering for trainee chefs.,,,,


MoD GPC TRANSPARENCY DATA FOR AUGUST 2012,,,,,

UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC37825,03-Aug-12,Auto Rental                        ,Auto Rental                        ,"£1,073.67",37825
MODGPC37826,13-Aug-12,Auto Rental                        ,Auto Rental                        ,£885.00,37826
MODGPC37827,13-Aug-12,Auto Rental                        ,Auto Rental                        ,£750.00,37827
MODGPC37828,13-Aug-12,Auto Rental                        ,Auto Rental                        ,£745.00,37828
MODGPC37829,01-Aug-12,Auto Rental                        ,Auto Rental                        ,"£2,100.00",37829
MODGPC37830,07-Aug-12,Auto Rental                        ,Auto Rental                        ,"£1,890.00",37830
MODGPC37831,02-Aug-12,Auto Rental                        ,Auto Rental                        ,"£1,473.01",37831
MODGPC37832,10-Aug-12,Books and Periodicals              , BOOK STORES,£990.00,37832
MODGPC37833,03-Aug-12,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,£648.25,37833
MODGPC37834,08-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£2,622.00",37834
MODGPC37835,06-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£763.34,37835
MODGPC37836,06-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£4,498.92",37836
MODGPC37837,02-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£642.52,37837
MODGPC37838,06-Aug-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,£530.22,37838
MODGPC37839,02-Aug-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,£763.20,37839
MODGPC37840,02-Aug-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,£590.94,37840
MODGPC37841,08-Aug-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"£1,359.73",37841
MODGPC37842,03-Aug-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"£1,241.04",37842
MODGPC37843,09-Aug-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,£583.19,37843
MODGPC37844,02-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£1,265.00",37844
MODGPC37845,01-Aug-12,Building Materials                 , PLUMBING/HEATING EQUIPMENT,"£1,063.86",37845
MODGPC37846,13-Aug-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"£1,938.47",37846
MODGPC37847,03-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£3,094.56",37847
MODGPC37848,07-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£1,470.00",37848
MODGPC37849,08-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£790.63,37849
MODGPC37850,01-Aug-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£519.54,37850
