DfT Low Carbon Vans Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSV file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Element Energy projections on current and future van specifications in the UK, 2010-2030. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,ICE,ICE,ICE,ICE,ICE,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,PHEV,PHEV,PHEV,PHEV,PHEV,RE EV,RE EV,RE EV,RE EV,RE EV,EV,EV,EV,EV,EV,H2 vehicle,H2 vehicle,H2 vehicle,H2 vehicle,H2 vehicle,H2 RE-EV,H2 RE-EV,H2 RE-EV,H2 RE-EV,H2 RE-EV
,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up
Range in EV mode (km),0,0,0,0,0,2,2,2,2,2,30,30,30,30,30,60,60,60,60,60,100,100,160,160,160,2,2,2,2,2,60,60,60,60,60
Battery capacity (kWh),x,x,x,x,x,1,2,3,3,3,6,9,12,14,13,13,18,24,27,27,16,22,48,54,53,1,2,3,3,3,14,18,25,28,27
Kerbweight (kg),"1,132","1,345","1,748","2,177","1,927","1,145","1,364","1,774","2,206","1,955","1,195","1,434","1,869","2,313","2,059","1,261","1,524","1,993","2,452","2,195","1,288","1,562","2,230","2,717","2,454","1,146","1,365","1,775","2,206","1,956","1,267","1,529","1,998","2,456","2,200"
H2 range (km),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,400,400,400,400,400,400,400,400,400,400
Hydrogen storage capacity (kWh),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,115,158,214,240,234,119,161,218,244,239
ICE motor size (kW),53,65,64,86,116,37,46,45,60,81,37,46,45,60,81,24,29,29,39,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Motor Size (kW),0,0,0,0,0,32,39,38,52,70,32,39,38,52,70,53,65,64,86,116,53,65,64,86,116,53,65,64,86,116,53,65,64,86,116
NEDC (gCO?/km),108,150,204,230,224,97,135,184,207,201,57,79,107,121,118,28,40,54,61,59,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
