Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-01,AO,16325,21869,Senior Policy Adviser,1.43,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-01,G6,50043,67714,Senior Policy Adviser,4,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-01,G7,40686,55882,Senior Policy Adviser,8.76,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-01,HEO,23570,33027,Policy Adviser,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-01,SEO,28741,40917,Policy Adviser,0.89,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-02,0,0,0,Policy Adviser,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-02,EO,18763,27281,Policy Adviser,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-02,G6,50043,67714,Senior Policy Adviser,2,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-02,G7,40686,55882,Senior Policy Adviser,9.67,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-02,HEO,23570,33027,Policy Adviser,7,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-02,SEO,28741,40917,Policy Adviser,3,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-03,AO,16325,21869,Policy Adviser,3,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing & Services (BS),SCS1-01-01-03,EO,18763,27281,Policy Adviser,1,Policy
