Organisation(All),,,,,,,,,,,,,,,,,
"Outturn year, 2011-12",,,,,,,,,,,,,,,,,
£'000,,,,,,,,,,,,,,,,,
,,,2011-12,,,,2011-12,,,,2011-12,,,,2011-12,,

,,,Original Plans,,,,Adjusted Plans†,,,,Final Plans,,,,Outturn,,
,,,Resource,,Capital,,Resource,,Capital,,Resource,,Capital,,Resource,,Capital
 ,,,,,,,,,,,,,,,,,
Spending in Departmental Expenditure Limits (DEL),,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,Voted expenditure,"39,462,243",,"9,504,961",,"39,389,410",,"9,506,066",,"39,462,243",,"9,504,961",,"37,979,945",,"9,014,056"
Of which:,,,,,,,,,,,,,,,,,
,,Provision of Defence Capability Service Personnel Costs,"9,748,371",,-,,"9,748,371",,-,,"9,748,371",,-,,"9,822,628",,-
,,Provision of Defence Capability Civilian Personnel Costs,"2,876,919",,-,,"2,876,919",,-,,"2,876,919",,-,,"2,888,233",,-
,,Provision of Defence Capability Infrastructure costs,"4,222,354",,-,,"4,222,354",,-,,"4,222,354",,-,,"4,365,665",,-
,,Provision of Defence Capability Inventory Consumption,"1,647,246",,-,,"1,647,246",,-,,"1,647,246",,-,,"1,740,806",,-
,,Provision of Defence Capability Equipment Support Costs,"5,417,796",,-,,"5,337,322",,-,,"5,417,796",,-,,"5,625,988",,-
,,Provision of Defence Capability Other Costs and Services (see details),"1,900,748",,-,,"1,900,716",,-,,"1,900,748",,-,,"1,357,872",,"25,000"
,,Provision of Defence Capability Receipts and other Income,"-1,306,138",,-,,"-1,298,465",,-,,"-1,306,138",,-,,"-1,283,873",,-
,,Provision of Defence Capability Depreciation and Impairments Costs,"10,271,336",,-,,"10,271,336",,-,,"10,271,336",,-,,"9,291,756",,-
,,Provision of Defence Capability Cash Release of Provisions Costs,"321,033",,-,,"321,033",,-,,"321,033",,-,,"176,464",,-
,,Provision of Defence Capability Capital Single Use Military Equipment,-,,"4,918,500",,-,,"4,918,500",,-,,"4,918,500",,-,,"4,828,748"
,,Provision of Defence Capability Other Capital (Fiscal),-,,"3,582,013",,-,,"3,582,013",,-,,"3,582,013",,-,,"3,536,232"
,,Provision of Defence Capability Fiscal Assets / Estate Disposal,-,,"-185,612",,-,,"-185,612",,-,,"-185,612",,-,,"-149,657"
,,Provision of Defence Capability New Loans and Loan Repayment,-,,"5,591",,-,,"6,696",,-,,"5,591",,-,,"-5,469"
,,Operations Service Personnel Staff Cost,"269,186",,-,,"269,186",,-,,"269,186",,-,,"278,285",,-
