"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","B1","56436","72185","Programme Manager","3","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","B1","56436","72185","Senior Policy Adviser","1","Policy"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","B2","47942","59535","Project Manager","5","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","C1 MSF","35648","44268","Project Support Officer","1","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","C1","35648","44268","Policy Support Officer","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","C2","29258","36333","Project Support Officer","1","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","C(FS)","29258","44268","Project Support Officer","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","OF5","81310","89408","Project Support Officer","1","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","D","23427","29092","Project Support Officer","2","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","105230","D","23427","29092","Private Secretary","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","E1","18370","22124","Project Support Officer","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","E2","15623","18815","Project Support Officer","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","105230","B1","56436","72185","Project Manager","2","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","B1","56436","72185","Project Manager","4","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","B2","47942","59535","Project Manager","4","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","B2","47942","59535","Communications Manager","1","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","105230","B2","47942","59535","Project Manager","3","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","C1","35648","44268","Business Manager","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","C1","35648","44268","Communications Manager","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","C1","35648","44268","Project Support Officer","6","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","105230","C1","35648","44268","Project Manager","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","105227","C2","29258","36333","Private Secretary","1","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","C(FS)","29258","44268","Communications Manager","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","C2","29258","36333","Project Support Officer","2","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","109838","D","23427","29092","Project Support Officer","3","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","105227","D","23427","29092","Executive Assistant","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","105230","OF4","67032","77617","Project Manager","1","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","178447","E1","18370","22124","Executive Assistant","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00137389","B1","56436","72185","Capability Management","2","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1432988","B1","56436","72185","Business Manager","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00174902","B1","56436","72185","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1106793","B1","56436","72185","Finance Resources and Plans","1","Finance"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1047497","B1","56436","72185","Finance Resources and Plans","1","Finance"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","126796","B1","56436","72185","Finance Resources and Plans","1","Finance"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1055232","B1","56436","72185","Finance Resources and Plans","1","Finance"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1055721","B1","56436","72185","Operational Analysis","2","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1055721","B2","47942","59535","Operational Analysis","3","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00137389","B2","47942","59535","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1047441","B2","47942","59535","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1567623","B2","47942","59535","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00105349","B2","47942","59535","Other","4","Policy"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1047423","D","23427","29092","Office Manager","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1564419","D","23427","29092","Executive Assistant","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1479775","D","23427","29092","Executive Assistant","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1432988","D","23427","29092","Business Manager","2","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00105349","D","23427","29092","Other","2","Policy"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1564419","C1","35648","44268","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1047497","C1","35648","44268","Finance Resources and Plans","1","Finance"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1055721","C1","35648","44268","Performance Management","3","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1055232","C1","35648","44268","Finance Resources and Plans","1","Finance"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","126796","C1","35648","44268","Finance Resources and Plans","2","Finance"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00137389","C1","35648","44268","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1479775","C1","35648","44268","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1047516","C1","35648","44268","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1047441","C1","35648","44268","Capability Management","7","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1567623","C1","35648","44268","Capability Management","3","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1573670","C1","35648","44268","Capability Management","3","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1432988","C1","35648","44268","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00174902","C1","35648","44268","Capability Management","1","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00105349","C1","35648","44268","Other","5","Policy"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00137389","C2","29258","36333","Capability Management","2","Planning"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1055721","C2","29258","36333","Performance Management","1","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1055721","C2","29258","36333","Operational Analysis","1","Planning"
