"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","B1","56436","72185","HR Officer","3.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","B2","47942","59535","HR Officer","10.50","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","C1","35648","44268","HR Officer","27.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","C2","29258","36333","HR Officer","28.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","D","23427","29092","HR Officer","14.50","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","E1","18370","22124","HR Officer","11.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","E2","15623","18815","HR Officer","4.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","OF2","37916","45090","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","OF4","67032","77617","HR Officer","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","OF5","81310","89408","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","OR1-3","17515","28940","HR Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","OR5-6","30013","36929","HR Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","OR7-8","33223","43252","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","1","OR9","38600","46753","HR Officer","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","B1","56436","72185","Performance Management","0.50","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","B2","47942","59535","Performance Management","0.50","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","C1","35648","44268","Performance Management","6.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","C2","29258","36333","Performance Management","4.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","E1","18370","22124","Performance Management","0.50","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","B1","56436","72185","Project Support Officer","9.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","B2","47942","59535","Project Support Officer","22.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","C1","35648","44268","Project Support Officer","87.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","C2","29258","36333","Project Support Officer","81.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","D","23427","29092","Project Support Officer","41.50","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","E1","18370","22124","Project Support Officer","20.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","E2","15623","18815","Project Support Officer","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OF2","37916","45090","Procurement Support Officer","24.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OF3","47760","57200","Procurement Support Officer","37.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OF4","67032","77617","Procurement Support Officer","18.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OR4","26405","33182","Project Support Officer","14.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OR5-6","30013","36929","Procurement Support Officer","21.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OR7-8","33223","43252","Procurement Support Officer","49.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OR9","38600","46753","Project Support Officer","8.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","B1","56436","72185","Project Support Officer","2.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","B2","47942","59535","Project Support Officer","11.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","C1","35648","44268","Project Support Officer","33.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","C2","29258","36333","Project Support Officer","28.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","D","23427","29092","Project Support Officer","4.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","E1","18370","22124","Project Support Officer","0.50","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OF2","37916","45090","Project Support Officer","14.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OF3","47760","57200","Project Support Officer","4.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OF4","67032","77617","Project Support Officer","6.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OF5","81310","89408","Project Support Officer","1.00","Military"
