ALB,Supplier,Net Amount £
Thurrock Thames Gateway,Urban Practitioners,"397,606.08"
Thurrock Thames Gateway,The Regeneration Practice,"291,400.35"
Thurrock Thames Gateway,Hyder Consulting Ltd,"245,083.82"
Thurrock Thames Gateway,DSV ROAD LIMITED,"205,356.28"
Thurrock Thames Gateway,Eversheds LLP,"195,721.20"
Thurrock Thames Gateway,Noble & Taylor,"172,979.00"
Thurrock Thames Gateway,AECOM Limited (Faber Maunsell),"165,556.73"
Thurrock Thames Gateway,Urban Initiatives Ltd,"165,294.83"
Thurrock Thames Gateway,Oxford Retail Consultants,"159,056.35"
Thurrock Thames Gateway,PricewaterhouseCoopers LLP,"149,167.00"
Thurrock Thames Gateway,London Communications Agency,"143,544.00"
Thurrock Thames Gateway,ROGER TYM & PARTNERS,"126,601.13"
Thurrock Thames Gateway,David Lock Associates Limited,"113,868.56"
Thurrock Thames Gateway,LEND LEASE,"113,650.38"
Thurrock Thames Gateway,GLENNY,"107,426.83"
Thurrock Thames Gateway,PRP Architects,"90,875.00"
Thurrock Thames Gateway,Montal Computer Services Ltd,"88,420.87"
Thurrock Thames Gateway,Cobalt Recruitment,"86,415.40"
Thurrock Thames Gateway,Redweb,"86,052.40"
Thurrock Thames Gateway,Atkins Management Consultants,"85,834.60"
Thurrock Thames Gateway,Touchstone Limited,"81,881.99"
Thurrock Thames Gateway,CBRE,"75,885.17"
Thurrock Thames Gateway,KILLOUGHERY CONSTRUCTION LTD,"73,378.00"
Thurrock Thames Gateway,ENTEC UK LTD,"72,222.64"
Thurrock Thames Gateway,Berwin Leighton Paisner LLP,"70,277.55"
Thurrock Thames Gateway,Judd Farris,"66,202.48"
Thurrock Thames Gateway,Atkins Limited DO NOT USE CATKI02 used CATKI03 :,"55,546.50"
Thurrock Thames Gateway,ERM Environmental Resources Management,"54,892.50"
Thurrock Thames Gateway,HBW Partnership,"54,175.00"
Thurrock Thames Gateway,Giraffe,"51,682.31"
Thurrock Thames Gateway,Trans European Technology,"51,016.26"
Thurrock Thames Gateway,Winns Security Services Ltd,"50,531.67"
Thurrock Thames Gateway,Bytes Software Services(Bytes Technology Group)Ltd,"50,255.33"
Thurrock Thames Gateway,Knight Frank LLP,"47,671.00"
Thurrock Thames Gateway,CAPITA SYMONDS,"47,370.00"
Thurrock Thames Gateway,Royal Mail Group (148 Old Street),"45,000.00"
Thurrock Thames Gateway,CCV Risk Solutions Limited,"38,196.30"
Thurrock Thames Gateway,Infor Global Soultions (Farnborough II) Ltd,"37,650.96"
Thurrock Thames Gateway,NTL Telewest Business,"36,663.00"
Thurrock Thames Gateway,Benoy Limited,"36,000.00"
Thurrock Thames Gateway,EC Harris LLp,"35,982.15"
Thurrock Thames Gateway,WellPrint Limited,"34,765.00"
Thurrock Thames Gateway,Kinnarps Office Furniture (UK ) Ltd,"33,581.66"
Thurrock Thames Gateway,ANCER SPA,"31,775.00"
Thurrock Thames Gateway,Regeneris Consulting Ltd,"30,488.00"
Thurrock Thames Gateway,Pitney Bowes MapInfo Limited,"28,745.00"
Thurrock Thames Gateway,Barclay Card Business : HM Gov Procurement Card,"26,575.84"
Thurrock Thames Gateway,RDM Limited,"25,650.00"
Thurrock Thames Gateway,Bernard Williams Associates,"25,300.00"
Thurrock Thames Gateway,Highways Project Solutions Ltd,"25,300.00"
Thurrock Thames Gateway,Odgers Ray & Berndtsons,"23,467.70"
Thurrock Thames Gateway,Rock Pools,"22,250.00"
Thurrock Thames Gateway,Vodafone Limited,"21,426.99"
Thurrock Thames Gateway,DTZ Debenham Tie Leung,"19,765.00"
Thurrock Thames Gateway,Peter Brett Associates,"19,735.05"
Thurrock Thames Gateway,Ice Agency (The),"18,990.00"
Thurrock Thames Gateway,Scott Wilson,"18,760.00"
Thurrock Thames Gateway,NorthgateArinso Uk Limited,"18,471.54"
Thurrock Thames Gateway,Shared Intelligence,"18,000.00"
Thurrock Thames Gateway,WENDY ANDREWS,"17,957.20"
Thurrock Thames Gateway,Banner Business Supplies Ltd,"16,393.62"
Thurrock Thames Gateway,Swift LG,"15,750.00"
Thurrock Thames Gateway,Ecology Solutions Ltd,"14,350.36"
Thurrock Thames Gateway,Connect Public Affairs,"12,287.85"
Thurrock Thames Gateway,A.E Tyler Ltd T/A Octlink (was Allsigns Group),"11,945.00"
Thurrock Thames Gateway,CHRIS BLANDFORD,"11,220.00"
Thurrock Thames Gateway,Buro Happold,"11,000.00"
Thurrock Thames Gateway,Dorchester Productions Limited,"10,000.00"
Thurrock Thames Gateway,British Telecommunication plc,"9,741.87"
Thurrock Thames Gateway,JWW Solutions Ltd,"9,668.47"
Thurrock Thames Gateway,Jane Locke Associates,"9,396.05"
Thurrock Thames Gateway,APIX CONSULTING LIMITED IN LIQUIDATION,"8,882.69"
Thurrock Thames Gateway,Merebrook Science & Environmental Ltd,"8,806.86"
Thurrock Thames Gateway,QA Limited,"8,627.20"
Thurrock Thames Gateway,3WayCleaning,"8,588.27"
Thurrock Thames Gateway,Associated Knowledge Systems Ltd,"7,760.00"
Thurrock Thames Gateway,OA EAST,"7,398.00"
Thurrock Thames Gateway,ADROIT,"7,250.00"
Thurrock Thames Gateway,Xerox Finance,"6,977.98"
Thurrock Thames Gateway,Trevor Roberts Associates,"6,795.00"
Thurrock Thames Gateway,LiteBytes,"6,687.50"
Thurrock Thames Gateway,Paul Shadarevian,"6,440.00"
Thurrock Thames Gateway,WH Services,"6,328.75"
Thurrock Thames Gateway,Bytes Document Solutions Ltd (Xclusive Solutions),"6,279.16"
Thurrock Thames Gateway,David Shevill,"6,169.15"
Thurrock Thames Gateway,Toomey Hire & Leasing Co Ltd,"6,137.87"
Thurrock Thames Gateway,Misco,"5,811.71"
Thurrock Thames Gateway,Neopost Limited,"5,512.50"
Thurrock Thames Gateway,ACG Publications,"5,430.00"
Thurrock Thames Gateway,Upper System Limited,"5,331.00"
Thurrock Thames Gateway,VMA Selection,"5,312.50"
Thurrock Thames Gateway,Glennleigh Print,"5,311.32"
Thurrock Thames Gateway,Recognition Express Essex,"5,248.50"
Thurrock Thames Gateway,Calverts Press,"5,182.04"
Thurrock Thames Gateway,LAND USE CONSULTANTS,"5,150.00"
Thurrock Thames Gateway,Deloitte LLP,"5,000.00"
Thurrock Thames Gateway,RAMBOLL WHITBYBIRD LTD,"5,000.00"
Thurrock Thames Gateway,UCI International,"4,950.00"
Thurrock Thames Gateway,Ashby & Croft Ltd,"4,800.00"
Thurrock Thames Gateway,MADDOX LUSHER & MATTHEWS,"4,750.00"
Thurrock Thames Gateway,Ordnance Survey - Southampton,"4,486.47"
Thurrock Thames Gateway,Extel Communications Ltd,"4,467.75"
Thurrock Thames Gateway,Additional Training,"4,284.02"
Thurrock Thames Gateway,Supporta TerraQuest,"4,268.70"
Thurrock Thames Gateway,Southern Testing Laboraties Ltd,"4,158.99"
Thurrock Thames Gateway,Haymarket Media Group (Publishing Services Ltd),"4,005.00"
Thurrock Thames Gateway,Pencilfish,"3,993.00"
Thurrock Thames Gateway,XEROX Limited,"3,891.21"
Thurrock Thames Gateway,EGI,"3,725.00"
Thurrock Thames Gateway,Pixelwork,"3,655.00"
Thurrock Thames Gateway,Rugged Mobile Systems Ltd,"3,622.00"
Thurrock Thames Gateway,Savills (L&P) Limited,"3,500.00"
Thurrock Thames Gateway,George Killoughery Ltd,"3,500.00"
Thurrock Thames Gateway,Selective Recruitment Limited,"3,472.63"
Thurrock Thames Gateway,Clive McDonnell Design,"3,465.00"
Thurrock Thames Gateway,WebUseful Solutions Ltd,"3,440.00"
Thurrock Thames Gateway,Newspaper Licensing Agency,"3,418.38"
Thurrock Thames Gateway,Enviros Consulting Ltd,"3,350.00"
Thurrock Thames Gateway,AMBIUS / Rentokil Tropical Plants,"3,268.60"
Thurrock Thames Gateway,CMP Information Ltd,"3,210.00"
Thurrock Thames Gateway,AEDAS ACCESS CONSULTANCY,"3,133.30"
Thurrock Thames Gateway,Brown's Hotel Ltd,"2,978.72"
Thurrock Thames Gateway,Manpower UK LTD,"2,920.00"
Thurrock Thames Gateway,AFA,"2,845.00"
Thurrock Thames Gateway,Reed Learning PLC,"2,696.22"
Thurrock Thames Gateway,PHS Datashred,"2,595.27"
Thurrock Thames Gateway,Mr S.A Yates T/A Voyager Private Hire,"2,383.00"
Thurrock Thames Gateway,ComputaCenter (UK) Limited,"2,267.12"
Thurrock Thames Gateway,MCBAINS COOPER,"2,250.00"
Thurrock Thames Gateway,Artisan Brandt Plc,"2,230.00"
Thurrock Thames Gateway,INSIGHTS,"2,042.50"
Thurrock Thames Gateway,Sabell & Co (B'ham) Ltd,"2,040.25"
Thurrock Thames Gateway,Orsett Hall,"1,971.07"
Thurrock Thames Gateway,ITec Learning Technologies,"1,920.00"
Thurrock Thames Gateway,Europa Training Ltd,"1,891.00"
Thurrock Thames Gateway,Workplace Law Group,"1,799.00"
Thurrock Thames Gateway,Sage (UK) Limited,"1,716.00"
Thurrock Thames Gateway,Verdi Business Forms Ltd,"1,558.64"
Thurrock Thames Gateway,Verisign UK Ltd,"1,495.00"
Thurrock Thames Gateway,LASER SURVEYS LTD,"1,450.00"
Thurrock Thames Gateway,Cannon Hygiene Ltd,"1,332.92"
Thurrock Thames Gateway,FLEXIBLE STORAGE,"1,303.53"
Thurrock Thames Gateway,BPP Professional Education,"1,255.00"
Thurrock Thames Gateway,Utilize PLC,"1,214.00"
Thurrock Thames Gateway,Contact Property Training Limited,"1,170.00"
Thurrock Thames Gateway,IRM Uk strategic IT Training Ltd,"1,161.00"
Thurrock Thames Gateway,CIPFA Business Limited,"1,073.00"
Thurrock Thames Gateway,Disaster Recovery Services Ltd,"1,070.06"
