Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128195,853.66
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128197,899.3
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128200,586.28
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128207,575.7
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128213,587.7
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128218,635.04
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128232,587.02
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128242,655.86
Communities & Local Government,GO,01/04/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106128243,499.74
Communities & Local Government,GO,01/04/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106127970,546.55
Communities & Local Government,GO,01/04/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106127983,"1,160.54"
Communities & Local Government,GO,01/04/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106128001,577.78
Communities & Local Government,GO,01/04/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106128170,546.55
Communities & Local Government,GO,01/04/2010,Agency Staff,GORCU Admin DEL Votd,CENTRAL OFFICE OF INFORMATION,5106128178,"18,168.70"
Communities & Local Government,GO,01/04/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106128175,671.65
Communities & Local Government,GO,01/04/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106128176,523.73
Communities & Local Government,GO,01/04/2010,Agency Staff,GOSE,REED SPECIALIST RECRUITMENT LTD,5106128069,864.72
Communities & Local Government,GO,01/04/2010,Agency Staff,GOSE,REED SPECIALIST RECRUITMENT LTD,5106128088,669.19
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179075,514.74
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179291,519.09
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179295,"1,585.25"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179296,"1,639.35"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179297,"1,340.26"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179299,"1,718.60"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179313,"2,163.99"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179314,"2,660.94"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179315,"1,755.34"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179316,"1,212.07"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179317,"1,630.00"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179318,"2,981.83"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179319,"3,897.33"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179320,"1,210.56"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179321,"3,413.38"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179322,"1,808.54"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179323,"2,047.26"
Communities & Local Government,GO,01/04/2010,Agency Staff,GOWM,REED SPECIALIST RECRUITMENT LTD,2100179324,"3,413.38"
