Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BARKING & DAGENHAM LB,5000132882,"-2,400,119.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BARNSLEY MBC,5000132886,"-2,174,152.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BIRMINGHAM CITY CNCL,5000132904,"-18,518,504.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BLACKBURN WITH DARWEN BC,5000132907,"-1,916,643.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BLACKPOOL BC,5000132910,"-2,092,410.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BOLTON MBC,5000132913,"-3,981,586.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRADFORD MBC,5000132921,"-6,195,177.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRENT LB,5000132928,"-4,513,345.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRIGHTON & HOVE CITY COUNCIL,5000132931,"-4,485,650.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BURY MBC,5000132949,"-2,094,759.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",CALDERDALE MBC,5000132952,"-2,509,830.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",COVENTRY CITY CNCL,5000133003,"-5,170,429.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DARLINGTON BC,5000133014,"-1,511,096.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DERBY CITY CNCL,5000133020,"-3,898,390.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DONCASTER MBC,5000133031,"-3,770,450.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DUDLEY MBC,5000133037,"-4,448,903.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",EALING LB,5000133041,"-5,336,125.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",EAST RIDING OF YORKS,5000133057,"-3,754,616.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",ENFIELD LB,5000133072,"-4,475,824.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",GATESHEAD MBC,5000133094,"-3,601,667.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",GREENWICH LB,5000133109,"-2,629,069.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LONDON BOROUGH OF HACKNEY,5000133114,"-3,237,337.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HALTON BC,5000133115,"-2,041,965.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HARINGEY LB,5000133126,"-2,684,028.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HARROW LB,5000133132,"-2,130,848.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HARTLEPOOL BOROUGH COUNCIL,5000133136,"-1,258,518.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HEREFORDSHIRE DISTRICT COUNCIL,5000133145,"-2,012,489.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",ISLE OF WIGHT CNCL,5000133167,"-1,446,965.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",ISLES OF SCILLY COUNCIL,5000133172,"-77,074.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HULL CITY COUNCIL,5000133185,"-4,140,970.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",KIRKLEES MBC,5000133188,"-4,693,642.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",KNOWSLEY MBC,5000133190,"-1,747,557.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LONDON BOROUGH OF LAMBETH,5000133192,"-4,700,526.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LEICESTER CITY CNCL,5000133201,"-4,799,819.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LEWISHAM LB,5000133208,"-2,206,221.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LIVERPOOL CITY COUNCIL,5000133217,"-8,133,665.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LUTON BC,5000133218,"-2,932,016.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",MANCHESTER CITY CNCL,5000133226,"-13,301,673.00"
Communities & Local Government,DCLG,01/07/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",MEDWAY COUNCIL,5000133232,"-3,292,082.00"
