Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,01/07/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LONDON BOROUGH HARINGEY,,,,2100205345,Groth/HMR Transitional Fund,"90,157.89",Yes
Communities & Local Government,DCLG,01/07/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LUTON BOROUGH COUNCIL,,Large,,2100205344,Groth/HMR Transitional Fund,"65,158.00",Yes
Communities & Local Government,DCLG,01/07/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SHEFFIELD CITY COUNCIL,,Large,,2100205346,Groth/HMR Transitional Fund,"90,157.89",Yes
Communities & Local Government,DCLG,01/07/2011,Domestic Services,Treasury,PHS GROUP LTD,,Large,,5106165320,PHS - Toilet supplies,"1,100.56",
Communities & Local Government,DCLG,01/07/2011,Electricity,Treasury,BRUNTWOOD ESTATES BETA PORTFOLIO LT,,Large,,5106165303,Elec bill for April - NRAP hold contract,520.67,
Communities & Local Government,DCLG,01/07/2011,Electricity,Treasury,BRUNTWOOD ESTATES BETA PORTFOLIO LT,,Large,,5106165303,Elec bill for May - NRAP hold contract,525.97,
Communities & Local Government,DCLG,01/07/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Treasury,CALDERDALE MBC,,,,7500028676,CMDC/3C/URB/clw4879,"-69,526.71",Yes
Communities & Local Government,DCLG,01/07/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Treasury,CALDERDALE MBC,,,,7500029299,CMDC/6C/URB/clw5160,"-7,360.16",Yes
Communities & Local Government,DCLG,01/07/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Treasury,CALDERDALE MBC,,,,7500029303,CMDC/1C/URB/clw5158,"-2,098.14",Yes
Communities & Local Government,DCLG,01/07/2011,EU Gts (Cap) to Prvt/Sec Persons & NPISH,Finance & Corporate Services,CALDERDALE MBC,,,,7500028709,CMDC/2C/URB/clw4882,"-20,535.72",Yes
Communities & Local Government,DCLG,01/07/2011,EU Gts (Cap) to Prvt/Sec Persons & NPISH,Treasury,CALDERDALE MBC,,,,7500029301,CMDC/4C/UBR/clw5159,"-3,615.23",Yes
Communities & Local Government,DCLG,01/07/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106165234,New Dimension - Consumables,"37,486.30",
Communities & Local Government,DCLG,01/07/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106165236,New Dimension - Consumables,"37,708.75",
