Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Amount
Communities & Local Government,DCLG,06/05/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003166,515.00
Communities & Local Government,DCLG,06/05/2011,Telephone call costs,Localism,BT REPAYMENT WORKS       NEWCASTLE UPO,1000003167,"1,518.60"
Communities & Local Government,DCLG,06/05/2011,Training,Localism,DOD`S PARLIAMENTARY CO   LONDON  SE1,1000003165,516.00
Communities & Local Government,DCLG,10/05/2011,Telephone call costs,Neighbourhoods,MIDLAND PHONE SERV       BRIERLY HILL,1000003178,597.91
Communities & Local Government,DCLG,10/05/2011,Training,Localism,HEMMING GROUP LTD        LONDON,1000003180,549.60
Communities & Local Government,DCLG,12/05/2011,Training,Neighbourhoods,THE MOLLER CTR FOR CON E CAMBRIDGE,1000003190,"1,584.00"
Communities & Local Government,DCLG,17/05/2011,Publications,Neighbourhoods,LEXISNEXIS UK            LONDON,1000003194,570.90
Communities & Local Government,DCLG,18/05/2011,Training,Finance & Corporate Services,WP-BREATHWORKS LTD       MANCHESTER,1000003201,564.00
Communities & Local Government,DCLG,24/05/2011,Government Procurement Card (expense),Finance & Corporate Services,WWW.KEYTOOLS.COM         SOUTHAMPTON,1000003210,606.00
Communities & Local Government,DCLG,25/05/2011,Office Machinery (<£5000),Neighbourhoods,THE DANWOOD GROUP LTD    LINCOLN,1000003222,680.90
Communities & Local Government,GO,31/05/2011,Office Machinery (<£5000),GONW,WWW.PB.COM               08444 992992,1000003051,"1,829.57"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
