Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Merchant category,Amount
Communities & Local Government,DCLG,03/05/2012,Training,Finance & Corporate Services,UNIV OF YORK 1           HESLINGTON,1000003590,COLLEGES & UNIVERSITIES,345.00
Communities & Local Government,DCLG,11/05/2012,Technical Aids for the disabled,Finance & Corporate Services,WWW.KEYTOOLS.COM         SOUTHAMPTON,1000003597,MISC. SPECIALITY RETAIL,475.19
Communities & Local Government,DCLG,22/05/2012,Technical Aids for the disabled,Finance & Corporate Services,WWW.KEYTOOLS.COM         SOUTHAMPTON,1000003606,MISC. SPECIALITY RETAIL,552.00
Communities & Local Government,DCLG,28/05/2012,"IT - PC, Network & Hardware",Neighbourhoods,SYM SECURE SITE SSL      41225450288,1000003608,COMPUTER NETWORK INFORMATION SERVICES,525.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
