Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,227,217.45,343,330.58,914,891.87,637,617.04,103,99.66,0,0,2224,2156.6,14,14,7,7,9,9,12,12,42,42,2266,2198.6,7022071.58,57602.79,50044,45468.37,1433322.51,652981.03,9261490.28,112706.71,308764.8,421471.51,9682961.79,Over 200 RDA staff transferred into DCLG this month due to the closure of the Regional Development Agencies (RDAs).
Fire Service College,Executive Agency,Department for Communities & Local Government,62,60.9,35,33.6,77,75,17,17,1,1,0,0,192,187.5,1,1,3,2.8,0,0,0,0,4,3.8,196,191.3,478129.23,0,0,2332.68,90107.03,36062.54,606631.48,38554,0,38554,645185.48,
Ordnance Survey ,Non-Ministerial Department,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ordnance Survey are now part of BIS - should not appear on DCLG return
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,223,199.13,132,121.55,72,69.45,258,217.53,4,3.4,0,0,689,611.06,0,0,0,0,0,0,0,0,0,0,689,611.06,1798476.04,27907,0,16425,367597.84,155788.43,2366194.31,0,0,0,2366194.31,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,13,13,22,22,3,3,1,1,0,0,43,43,0,0,0,0,0,0,0,0,0,0,43,43,123393.73,603.25,0,2416.2,23032.71,10688.75,160134.64,0,0,0,160134.64,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,240,227.04,316,308.86,85,82.27,92,90.84,57,56.88,0,0,790,765.89,1,1,0,0,3,3,0,0,4,4,794,769.89,2657654.9,824638.72,0,5969.27,605717.94,263069.26,4357050.09,11691,0,11691,4368741.09,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,35,35,35,35,1,1,0,0,1,1,0,0,2,2,37,37,138149.45,64.28,0,0,25461.6,13541.75,177217.08,10438.18,0,10438.18,187655.26,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,12,12,5,5,14,13.8,14,13.8,13,11.3,0,0,58,55.9,1,1,0,0,0,0,0,0,1,1,59,56.9,228983,2250,2692,122,16704,27497,278248,1768,0,1768,280016,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,15,14,0,0,1,1,0,0,20,18.4,0,0,0,0,0,0,0,0,0,0,20,18.4,58988.16,0,0,0,5843,6437.64,71268.8,0,0,0,71268.8,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,12,10.3,8,7.8,14,14,0,0,36,34.1,0,0,1,0.67,5,0.27,2,0.4,8,1.34,44,35.44,157727.2,0,0,0,20949.26,15921.1,194597.56,6575,7558.5,14133.5,208731.06,
