ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Fire Service College,ACCOMMODATION SERVICES,EUROPA FACILITIES MANAGEMENT LTD,"944,976.80"
Fire Service College,ADMIN AND CLERICAL,HAYS INFORMATION TECHNOLOGY,"45,050.37"
Fire Service College,ADMIN AND CLERICAL,HAYS SALES & MARKETING,"60,610.01"
Fire Service College,ADMIN AND CLERICAL,K & L CHILDCARE SERVICES LTD,"19,519.63"
Fire Service College,ADMIN AND CLERICAL,OMEGA SELECTION SERVICES,"3,535.34"
Fire Service College,ADMIN AND CLERICAL,PREMIERE EMPLOYMENT GROUP LTD,"50,224.63"
Fire Service College,ADMIN AND CLERICAL,SUE HILL RECRUITMENT & SERVICES LTD,"23,610.91"
Fire Service College,ADMIN AND CLERICAL,VENN GROUP LIMITED,"23,150.30"
Fire Service College,ADVERTISING,MELTWATER NEWS UK LTD.,"6,040.00"
Fire Service College,ADVERTISING,MELVILLE EXHIBITION SERVICES,726.45
Fire Service College,AIR,AL-AMAAN TRAVEL & HOLIDAYS,"1,555.47"
Fire Service College,BUILDING MAINTENANCE,AMBIUS (RENTOKIL TROPICAL PLANTS),"3,245.33"
Fire Service College,BUILDING MAINTENANCE,COTSWOLD DISTRICT COUNCIL,"572,143.37"
Fire Service College,BUILDING MAINTENANCE,GEORGE CARR & SONS (SAWS) LTD.,"2,176.50"
Fire Service College,BUILDING MANAGEMENT,BRITISH SKY BROADCASTING LTD.,"1,837.26"
Fire Service College,BUILDING MANAGEMENT,STONE WAREHOUSE,"3,381.71"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,A.J. BAYLISS PETROLEUM ENGINEERS LTD,"1,490.00"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,A.M.S. REFRIGERATION LTD.,"9,812.96"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,ADT FIRE & SECURITY,"1,615.56"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,ADT FIRE & SECURITY PLC,"2,159.92"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,ALLIANZ CORNHILL ENGINEERING,"9,610.64"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,AMITY INSULATION SERVICES LTD,"1,034.00"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,ASSOCIATION OF BUILDING ENGINEERS,"2,467.50"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,BALE GROUP,"7,557.11"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,BIO-LAB UK,"1,919.34"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,BMD FABRICATIONS LTD.,"47,442.80"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,CENTRAL COMPRESSOR CONSULTANTS LTD.,"8,457.25"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,CHUBB FIRE LTD.,"4,493.29"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,CSS WORKSAFE,871.20
Fire Service College,BUILDING REPAIR AND MAINTENANCE,EDMUNDSONS ELECTRICAL LTD,"6,343.37"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,EDWARDS DIVING SERVICES LIMITED,"1,832.12"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,GAFFEY TECHNICAL SERVICES LTD,"2,150.44"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,HYDROFLOW LTD,"3,063.75"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,HYRAM ENGINEERING CO. LTD.,"1,094.50"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,JOHNSON CONTROLS FIRE & SECURITY,"18,675.12"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,JOHNSON CONTROLS LTD.,"1,746.09"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,JOHNSON CONTROLS LTD.,"5,664.82"
