Department Family,Entity,Payment Date,Expense type,Expense Area,Vendor,Doc Ref,Amount
CLG,VTS,27/04/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100059806,624.89
CLG,VTS,27/04/2009,Removal services,Estate,PHS DATASHRED,2100059810,500.71
CLG,VTS,07/04/2009,Staff and Members' Conference,Training,DRAPERS COMPANY,2100060294,6862.63
CLG,VTS,14/04/2009,Agency Staff,HR,*ARDEN SHIELDS RECRUITMENT LTD,2100060314,602.68
CLG,VTS,07/04/2009,Legal fees,Central Services,BEACHCROFT LLP,2100060318,15968.79
CLG,VTS,07/04/2009,Fixed Maintenance,Estate,LAMBERT SMITH HAMPTON,2100060319,4514.33
CLG,VTS,07/04/2009,IT Hardware,IT,MISCO,2100060332,675.88
CLG,VTS,07/04/2009,IT Hardware,IT,MISCO,2100060334,783.99
CLG,VTS,07/04/2009,IT Hardware,IT,MISCO,2100060335,1121.32
CLG,VTS,07/04/2009,Property maintenance,Estate,GLOBAL DETECTION SYSTEMS,2100060338,2678.35
CLG,VTS,07/04/2009,Outsourced services,Central Services,*LOGICA CMG UK LTD,2100060343,1860.12
CLG,VTS,07/04/2009,T&S claim,Operational,Staff,2100060345,578.53
CLG,VTS,07/04/2009,Publicity,Corporate,BIRMINGHAM CITY COUNCIL,2100060348,519.74
CLG,VTS,07/04/2009,IT Hardware,IT,COMPANY BARCLAYCARD,2100060391,19.96
CLG,VTS,07/04/2009,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100060391,304.29
CLG,VTS,07/04/2009,Meeting expenses,Training,COMPANY BARCLAYCARD,2100060391,146.4
CLG,VTS,07/04/2009,Meeting expenses,HR,COMPANY BARCLAYCARD,2100060391,52
CLG,VTS,07/04/2009,Meeting expenses,IT,COMPANY BARCLAYCARD,2100060391,43.49
CLG,VTS,07/04/2009,Meeting expenses,Corporate,COMPANY BARCLAYCARD,2100060391,95.2
CLG,VTS,07/04/2009,Office Furniture,Estate,COMPANY BARCLAYCARD,2100060391,1991.57
CLG,VTS,07/04/2009,Printing,Corporate,COMPANY BARCLAYCARD,2100060391,552
CLG,VTS,07/04/2009,Rail and Hotel booking services,Board,COMPANY BARCLAYCARD,2100060391,129.95
CLG,VTS,07/04/2009,Rail and Hotel booking services,Central Services,COMPANY BARCLAYCARD,2100060391,211.8
CLG,VTS,07/04/2009,Rail and Hotel booking services,Training,COMPANY BARCLAYCARD,2100060391,72.35
CLG,VTS,07/04/2009,Rail and Hotel booking services,HR,COMPANY BARCLAYCARD,2100060391,266
CLG,VTS,07/04/2009,Rail and Hotel booking services,Corporate,COMPANY BARCLAYCARD,2100060391,4
CLG,VTS,15/04/2009,Tribunal Hearing Venues,Operational,RELIGIOUS SOCIETY OF FRIENDS,2100060510,577.5
CLG,VTS,15/04/2009,Agency Staff,HR,ARDEN SHIELDS RECRUITMENT LTD,2100060513,580.36
CLG,VTS,15/04/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100060514,671.86
CLG,VTS,15/04/2009,Agency Staff,HR,HUNTRESS SEARCH LTD,2100060515,1166.53
CLG,VTS,15/04/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100060520,620.57
CLG,VTS,15/04/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100060521,616.43
CLG,VTS,15/04/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100060522,608.15
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060527,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060528,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060529,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060530,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060531,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060532,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060533,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060534,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060535,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060536,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060537,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060538,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060539,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060540,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060541,575
CLG,VTS,15/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060542,575
CLG,VTS,15/04/2009,Heating and lighting,Operational,POWERGEN,2100060545,960.7
CLG,VTS,16/04/2009,Property maintenance,Estate,COFELY LTD,2100060546,500.96
CLG,VTS,16/04/2009,Property maintenance,Estate,COFELY LTD,2100060550,872.78
CLG,VTS,16/04/2009,Property maintenance,Estate,COFELY LTD,2100060551,580.45
CLG,VTS,15/04/2009,Telecoms,IT,B T PAYMENT SERVICES LTD,2100060552,546.12
CLG,VTS,16/04/2009,Property maintenance,Estate,COFELY LTD,2100060555,507.27
CLG,VTS,16/04/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100060558,696.54
CLG,VTS,16/04/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100060559,1046.34
CLG,VTS,16/04/2009,Property maintenance,Estate,GLOBAL DETECTION SYSTEMS,2100060562,2990
CLG,VTS,16/04/2009,T&S claim,Operational,Staff,2100060563,952.05
CLG,VTS,20/04/2009,Rail and Hotel booking services,IT,EXPOTEL HOTEL RESERVATIONS LTD,2100060591,559.51
CLG,VTS,20/04/2009,Rail and Hotel booking services,Training,EXPOTEL HOTEL RESERVATIONS LTD,2100060591,318.84
CLG,VTS,17/04/2009,Meeting expenses,Operational,USHAW COLLEGE,2100060622,264.5
CLG,VTS,17/04/2009,Tribunal Hearing Venues,Operational,USHAW COLLEGE,2100060622,356.5
CLG,VTS,20/04/2009,Agency Staff,HR,ARDEN SHIELDS RECRUITMENT LTD,2100060644,524.56
CLG,VTS,20/04/2009,Agency Staff,HR,HUNTRESS SEARCH LTD,2100060645,1058.01
CLG,VTS,20/04/2009,Property maintenance,Estate,COFELY LTD,2100060647,592.11
CLG,VTS,20/04/2009,Consultancy,IT,STRATEGY FINANCE & GOVERNANCE,2100060655,1919.93
CLG,VTS,20/04/2009,Domestic Services,Estate,TRUSTCLEAN LTD,2100060667,517.35
CLG,VTS,20/04/2009,Rail and Hotel booking services,Board,EXPOTEL HOTEL RESERVATIONS LTD,2100060700,206.75
CLG,VTS,20/04/2009,Rail and Hotel booking services,Training,EXPOTEL HOTEL RESERVATIONS LTD,2100060700,968.62
CLG,VTS,20/04/2009,Rail and Hotel booking services,HR,EXPOTEL HOTEL RESERVATIONS LTD,2100060700,251.48
CLG,VTS,20/04/2009,Rail and Hotel booking services,Operational,EXPOTEL HOTEL RESERVATIONS LTD,2100060700,-1.92
CLG,VTS,20/04/2009,Rail and Hotel booking services,IT,EXPOTEL HOTEL RESERVATIONS LTD,2100060700,703.37
CLG,VTS,20/04/2009,Rail and Hotel booking services,Corporate,EXPOTEL HOTEL RESERVATIONS LTD,2100060700,103.23
CLG,VTS,20/04/2009,Telecoms,IT,VODAFONE UK,2100060702,686.61
CLG,VTS,12/05/2009,Agency Staff,HR,BLUE ARROW LTD,2100060703,506.35
CLG,VTS,20/04/2009,Telecoms,IT,CABLE & WIRELESS,2100060706,18982.75
CLG,VTS,21/04/2009,Dilaps/Refurbishment,Estate,BALFOUR BEATTY PLC,2100060709,37175
CLG,VTS,20/04/2009,Telecoms,IT,B T PAYMENT SERVICES LTD,2100060710,887.08
CLG,VTS,21/04/2009,Staff and Members' Conference,Training,WORCS COUNTY CRICKET TRADING LTD,2100060729,674.82
CLG,VTS,23/04/2009,Judicial Journals,Corporate,LEXIS-NEXIS UK,2100060778,1295.45
CLG,VTS,23/04/2009,Meeting expenses,Operational,ARROW MILL HOTEL & RESTAURANT,2100060779,592
CLG,VTS,23/04/2009,Tribunal Hearing Venues,Operational,ARROW MILL HOTEL & RESTAURANT,2100060779,50
CLG,VTS,23/04/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100060782,567.93
CLG,VTS,23/04/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100060783,512.52
CLG,VTS,22/04/2009,Rail and Hotel booking services,Operational,DAWSON & SANDERSON LTD,2100060786,805
CLG,VTS,22/04/2009,Heating and lighting,Operational,BRITISH GAS BUSINESS,2100060794,580.55
CLG,VTS,27/04/2009,Heating and lighting,Operational,BRITISH GAS BUSINESS,2100060874,810.07
CLG,VTS,28/04/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100060885,500.6
CLG,VTS,28/04/2009,Legal fees,Central Services,BEACHCROFT LLP,2100060887,4003.84
CLG,VTS,28/04/2009,Legal fees,Central Services,BEACHCROFT LLP,2100060888,2034.12
CLG,VTS,28/04/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100060894,577.16
CLG,VTS,28/04/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100060895,517.13
CLG,VTS,30/04/2009,T&S claim,Operational,Staff,2100060899,856.16
CLG,VTS,30/04/2009,T&S claim,Central Services,Staff,2100060900,886
CLG,VTS,30/04/2009,T&S claim,Training,Staff,2100060900,78
CLG,VTS,28/04/2009,Telecoms,IT,B T PAYMENT SERVICES LTD,2100060951,525.67
CLG,VTS,30/04/2009,Outsourced services,Central Services,DCLG,2100060964,8720.45
CLG,VTS,30/04/2009,Judicial Journals,Corporate,RATING VALUATION REPORTER,2100060967,575
CLG,VTS,30/04/2009,Consultancy,IT,OPTIMUM MANAGEMENT SOLUTIONS LTD,2100060991,3346.5
CLG,VTS,30/04/2009,Outsourced services,Central Services,*LOGICA CMG UK LTD,2100060995,1040.12
CLG,VTS,30/04/2009,Agency Staff,HR,ARDEN SHIELDS RECRUITMENT LTD,2100060996,595.53
CLG,VTS,30/04/2009,Building Insurance,Estate,SPEAKMAN & LIPTROTT,2100061000,3432.09
CLG,VTS,30/04/2009,Agency Staff,HR,HUNTRESS SEARCH LTD,2100061004,664.79
CLG,VTS,30/04/2009,Heating and lighting,Operational,E.ON ENERGY LIMITED,2100061015,930.33
CLG,VTS,06/05/2009,Rail and Hotel booking services,Central Services,CAPITA BUSINESS,2100061029,47.5
CLG,VTS,06/05/2009,Rail and Hotel booking services,Training,CAPITA BUSINESS,2100061029,314.2
CLG,VTS,06/05/2009,Rail and Hotel booking services,Operational,CAPITA BUSINESS,2100061029,508.7
CLG,VTS,06/05/2009,Rail and Hotel booking services,HR,CAPITA BUSINESS,2100061029,352.2
CLG,VTS,06/05/2009,Rail and Hotel booking services,IT,CAPITA BUSINESS,2100061029,672
CLG,VTS,06/05/2009,Rail and Hotel booking services,Corporate,CAPITA BUSINESS,2100061029,256.3
CLG,VTS,06/05/2009,Rail and Hotel booking services,Estate,CAPITA BUSINESS,2100061029,316.3
CLG,VTS,01/05/2009,Meeting expenses,Operational,GHYLL MANOR HOTEL,2100061042,531.7
CLG,VTS,01/05/2009,Staff and Members' Conference,Training,GHYLL MANOR HOTEL,2100061042,140
CLG,VTS,01/05/2009,Tribunal Hearing Venues,Operational,GHYLL MANOR HOTEL,2100061042,205.62
CLG,VTS,06/05/2009,Post,Central Services,NEOPOST LTD,2100061100,625.89
CLG,VTS,06/05/2009,Staff Training,Training,COURSE ACADEMY,2100061111,856.75
CLG,VTS,11/05/2009,Projects,IT,PA CONSULTING SERVICES LIMITED,2100061114,47137.9
CLG,VTS,11/05/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100061117,627.95
CLG,VTS,11/05/2009,Agency Staff,HR,HUNTRESS SEARCH LTD,2100061140,813.13
CLG,VTS,11/05/2009,Publicity,Corporate,CHANGEWORKS COMMUNICATIONS LTD,2100061142,698.05
CLG,VTS,11/05/2009,T&S claim,Operational,Staff,2100061155,720.93
CLG,VTS,11/05/2009,T&S claim,Operational,Staff,2100061157,513.36
CLG,VTS,11/05/2009,Printing,Corporate,WHITEHALL PRINTING CO (AVON) LTD,2100061159,3110
CLG,VTS,11/05/2009,IT Hardware,IT,MISCO,2100061202,706.77
CLG,VTS,11/05/2009,Legal fees,Central Services,BEACHCROFT LLP,2100061210,13459.89
CLG,VTS,18/05/2009,Projects,IT,HM REVENUE & CUSTOMS,2100061211,34508.04
CLG,VTS,11/05/2009,Legal fees,Central Services,BEACHCROFT LLP,2100061214,670.34
CLG,VTS,13/05/2009,Property maintenance,Estate,COFELY LTD,2100061253,872.78
CLG,VTS,11/05/2009,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100061255,1609.51
CLG,VTS,00/01/1900,Meeting expenses,Corporate,COMPANY BARCLAYCARD,2100061255,153
CLG,VTS,11/03/2010,Meeting expenses,Finance,COMPANY BARCLAYCARD,2100061255,339.35
CLG,VTS,00/01/1900,Meeting expenses,IT,COMPANY BARCLAYCARD,2100061255,248.25
