Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO002,Administrative Officer,16457,18414,Administrative Officer,0.5,
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO002,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO002,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0,
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO002,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO002,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO002,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO002,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO002,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0,
Department for Business Innovation and Skills,Government Office Network,GO London,GO003,Administrative Officer,21267,23814,Administrative Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO London,GO003,Executive Officer,24730,29277,Executive Officer,2.0,
Department for Business Innovation and Skills,Government Office Network,GO London,GO003,Grade 6,58899,73498,Grade 6,1.0,
Department for Business Innovation and Skills,Government Office Network,GO London,GO003,Higher Executive Officer,30858,34274,Higher Executive Officer,3.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO003,Administrative Officer,21267,23814,Administrative Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO003,Grade 7,49363,61151,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO003,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO London,GO003,Executive Officer,24730,29277,Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO003,Administrative Officer,21267,23814,Administrative Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO003,Executive Officer,24730,29277,Executive Officer,1.0,
Department for Transport,Government Office Network,GO London,GO003,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Network Centre and Services,GO004,Grade 7,49363,61151,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Network Centre and Services,GO004,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0,
Home Office,Government Office Network,GO Network Centre and Services,GO004,Executive Officer,24730,29277,Executive Officer,1.0,
Home Office,Government Office Network,GO Network Centre and Services,GO004,Grade 6,58899,73498,Grade 6,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO005,Grade 7,44509,54946,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO005,Higher Executive Officer,26676,29599,Higher Executive Officer,2.8,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO005,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO005,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO005,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO005,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Home Office,Government Office Network,GO North East,GO005,Personal Secretary,16457,18414,Personal Secretary,1.0,Recorded as AO level on organogram
Department for Business Innovation and Skills,Government Office Network,GO North West,GO006,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO006,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO North West,GO006,Higher Executive Officer,26676,29599,Higher Executive Officer,6.5
Department for Business Innovation and Skills,Government Office Network,GO North West,GO006,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO North West,GO006,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0
Department for Communities and Local Government,Government Office Network,GO North West,GO006,Executive Officer,19927,23582,Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO007,Administrative Officer,19133,22095,Administrative Officer,1.6
Department for Business Innovation and Skills,Government Office Network,GO South East,GO007,Executive Officer,22628,26958,Executive Officer,2.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO007,Grade 7,47556,59827,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO South East,GO007,Higher Executive Officer,29289,33220,Higher Executive Officer,3.8
Department for Business Innovation and Skills,Government Office Network,GO South East,GO007,Senior Executive Officer,35316,40071,Senior Executive Officer,1.7
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO007,Higher Executive Officer,29289,33220,Higher Executive Officer,0.6
Department for Business Innovation and Skills,Government Office Network,GO South West,GO008,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO008,Executive Officer,19927,23582,Executive Officer,2.4
Department for Business Innovation and Skills,Government Office Network,GO South West,GO008,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO008,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0
Department for Business Innovation and Skills,Government Office Network,GO South West,GO008,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO South West,GO008,Higher Executive Officer,26676,29599,Higher Executive Officer,0.5
Department for Transport,Government Office Network,GO South West,GO008,Executive Officer,19927,23582,Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO009,Executive Officer,19927,23582,Executive Officer,0.8
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO009,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO009,Higher Executive Officer,26676,29599,Higher Executive Officer,2.5
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO009,Senior Executive Officer,32599,36177,Senior Executive Officer,0.8
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO009,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO009,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO009,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Home Office,Government Office Network,GO West Midlands,GO009,Higher Executive Officer,26676,29599,Higher Executive Officer,0.8
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO010,Executive Officer,19927,23582,Executive Officer,4.6
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO010,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO010,Executive Officer,19927,23582,Executive Officer,0.6
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO010,Grade 7,44509,54946,Grade 7,1.0
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO010,Executive Officer,19927,23582,Executive Officer,1.6
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO010,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO010,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO010,Higher Executive Officer,26676,29599,Higher Executive Officer,0.6,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO011,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO011,Senior Executive Officer,32599,36177,Senior Executive Officer,1.6,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO011,Executive Officer,19927,23582,Executive Officer,3.9,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO011,Grade 7,44509,54946,Grade 7,2.8,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO011,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO011,Senior Executive Officer,32599,36177,Senior Executive Officer,3.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO011,Administrative Officer,16457,18414,Administrative Officer,3.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO011,Executive Officer,19927,23582,Executive Officer,2.9,
Department for Communities and Local Government,Government Office Network,GO North West,GO011,Grade 7,44509,54946,Grade 7,7.6,
Department for Communities and Local Government,Government Office Network,GO North West,GO011,Higher Executive Officer,26676,29599,Higher Executive Officer,6.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO011,Mapping & Charting Officer,24377,28852,Mapping & Charting Officer,1.0,Recorded as EO level on organogram
Department for Communities and Local Government,Government Office Network,GO North West,GO011,Personal Secretary,16457,18414,Personal Secretary,0.5,Recorded as AO level on organogram
Department for Communities and Local Government,Government Office Network,GO North West,GO011,Senior Executive Officer,32599,36177,Senior Executive Officer,2.6,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North West,GO011,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North West,GO011,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Transport,Government Office Network,GO North West,GO011,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Transport,Government Office Network,GO North West,GO011,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Home Office,Government Office Network,GO North West,GO011,Executive Officer,19927,23582,Executive Officer,2.0,
Home Office,Government Office Network,GO North West,GO011,Grade 6,54490,67506,Grade 6,2.0,
Home Office,Government Office Network,GO North West,GO011,Grade 7,44509,54946,Grade 7,2.0,
Home Office,Government Office Network,GO North West,GO011,HEO (D),27000,35000,HEO (D),1.0,HEO (D) staff are Fast Streamers
Home Office,Government Office Network,GO North West,GO011,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO012,Grade 7,44509,54946,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO012,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO012,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO012,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO012,Personal Secretary,16457,18414,Personal Secretary,0.6,Recorded as AO level on organogram
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO012,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO West Midlands,GO012,Higher Executive Officer,26676,29599,Higher Executive Officer,0.9,
Department for Transport,Government Office Network,GO West Midlands,GO012,Higher Professional & Technical Officer,31737,35255,Higher Professional & Technical Officer,1.0,Recorded as HEO level on organogram
Department for Business Innovation and Skills,Government Office Network,GO East,GO013,Higher Executive Officer,26676,29599,Higher Executive Officer,4.0
Department for Business Innovation and Skills,Government Office Network,GO East,GO013,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East,GO013,Grade 7,44509,54946,Grade 7,2.0
"Department for Children, Schools and Families",Government Office Network,GO East,GO013,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO013,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO013,Executive Officer,19927,23582,Executive Officer,7.0
