Parent Department,Organisation,Unit,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Account Manager,2
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Commercial Director,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Assistant Accountant,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,AV Administrator,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,AVPM,5
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,AV Sales Manager,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,AV Technician,5
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Senior AV Technician,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Business Centre Manager,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Commercial Services Manager,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Credit Control Clerk,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Sales & Marketing Assistant,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Event Manager,7
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Event Operations Manager,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Facilities Manager,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Finance Director,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,HR Director,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,HR Executive,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,ICT Manager,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,ICT Support Engineer,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Senior ICT Engineer,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Head of Dept AV Tech,3
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Marketing Communciations Manager,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Operations Executive,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,PA to Chief Executive,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Production Manager,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Purchase Ledger ,1
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Sales Development,2
Communities & Local Government,The QEII Conference centre,London,Spot Rate,Spot Rate,Security Inspector,1
