Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11864,56172.16
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2010,Electricity,Operations,EDF ENERGY,11865,30546.84
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2010,Marketing,Commercial,VOHM,11866,500
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2010,Business Rates,Administration,CITY OF WESTMINSTER,11867,48304
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2010,Cost of Sales - Commission,Commercial,In any Event UK Ltd,11871,503.92
Communities And Local Government,Queen Elizabeth II Conference Centre,05/08/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,11872,680
Communities And Local Government,Queen Elizabeth II Conference Centre,05/08/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11873,1791.6
Communities And Local Government,Queen Elizabeth II Conference Centre,09/08/2010,Consultants,Administration,TICKETT ENTERPRISES LTD,11884,1155
Communities And Local Government,Queen Elizabeth II Conference Centre,09/08/2010,Consultants,Administration,TICKETT ENTERPRISES LTD,11885,1540
Communities And Local Government,Queen Elizabeth II Conference Centre,09/08/2010,Cost of Sales - Telecommunications,ITC Department,BRITISH TELECOM,11886,1953.82
Communities And Local Government,Queen Elizabeth II Conference Centre,09/08/2010,Agency Labour,Commercial,Poolia UK Ltd,11889,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,09/08/2010,Agency Labour,Commercial,Revenue by Design Ltd,11891,1500
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Training,Administration,BARCLAYCARD PROCUREMENT CARD,11893,149
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,IT Equipment Maintenance,ITC Department,BARCLAYCARD PROCUREMENT CARD,11893,4175.13
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Cost Of Sales - Consumables,Business Centre,BARCLAYCARD PROCUREMENT CARD,11893,24.99
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Mobile Phone Costs,Event Management,BARCLAYCARD PROCUREMENT CARD,11893,118
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Internet & Telecomms,ITC Department,BARCLAYCARD PROCUREMENT CARD,11893,61.19
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Travel,ITC Department,BARCLAYCARD PROCUREMENT CARD,11893,8
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Cost of Sales - Equipment Hire,ITC Department,BARCLAYCARD PROCUREMENT CARD,11893,32.23
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,11893,-120.03
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Cost of Sales - Consumables,Interface,BARCLAYCARD PROCUREMENT CARD,11893,126.81
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Maintenance,Interface,BARCLAYCARD PROCUREMENT CARD,11893,827.06
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Cost of Sales - Equipment Hire,Interface,BARCLAYCARD PROCUREMENT CARD,11893,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Stationery,Event Management,BARCLAYCARD PROCUREMENT CARD,11893,554.02
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,11893,500.8
Communities And Local Government,Queen Elizabeth II Conference Centre,10/08/2010,IT Equipment Maintenance,ITC Department,INSIGHT DIRECT UK LTD,11898,428.99
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Cost of Sales - Signage,Interface,A PERTON SIGNS LIMITED,11899,1655
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Cost of Sales - Sets,Interface,A PERTON SIGNS LIMITED,11899,2485
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Cost of Sales - Freelance Technicians,Interface,A PERTON SIGNS LIMITED,11899,370
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Marketing,Commercial,A PERTON SIGNS LIMITED,11899,127
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Cost of Sales - Telecommunications,ITC Department,VERIZON UK LIMITED,11903,486.86
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Cost of Sales - Equipment Hire,ITC Department,VERIZON UK LIMITED,11904,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Consultants,Administration,TICKETT ENTERPRISES LTD,11905,1925
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Consultants,Administration,TICKETT ENTERPRISES LTD,11906,2695
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2010,Cost of Sales - Freelance Technicians,Interface,CHRIS BRAUN,11908,662
